prior_history_cohort,model,interval,nominal_coverage,n,coverage,coverage_error,absolute_coverage_error,mean_width
50_plus_prior_games,task047,q25_q75,0.5,9976,0.5381916599839615,0.03819165998396146,0.03819165998396146,655.5474852428669
50_plus_prior_games,task049,q25_q75,0.5,9976,0.5444065757818765,0.044406575781876456,0.044406575781876456,658.6215148921405
50_plus_prior_games,task047,q10_q90,0.8,9976,0.7490978348035284,-0.050902165196471616,0.050902165196471616,1205.2144970385364
50_plus_prior_games,task049,q10_q90,0.8,9976,0.7609262229350441,-0.03907377706495596,0.03907377706495596,1202.4374489659776
50_plus_prior_games,task047,q10_q97_asymmetric,0.87,9976,0.8533480352846833,-0.016651964715316714,0.016651964715316714,1498.8525911868403
50_plus_prior_games,task049,q10_q97_asymmetric,0.87,9976,0.8540497193263833,-0.0159502806736167,0.0159502806736167,1470.6485144452367
under_50_prior_games,task047,q25_q75,0.5,7524,0.5960925039872408,0.09609250398724078,0.09609250398724078,574.5011570721163
under_50_prior_games,task049,q25_q75,0.5,7524,0.5966241360978203,0.09662413609782028,0.09662413609782028,576.6106289244212
under_50_prior_games,task047,q10_q90,0.8,7524,0.7824295587453483,-0.017570441254651792,0.017570441254651792,1048.6225888903184
under_50_prior_games,task049,q10_q90,0.8,7524,0.7743221690590112,-0.025677830940988855,0.025677830940988855,1022.7465023529215
under_50_prior_games,task047,q10_q97_asymmetric,0.87,7524,0.8751993620414673,0.005199362041467315,0.005199362041467315,1372.6852707423384
under_50_prior_games,task049,q10_q97_asymmetric,0.87,7524,0.8564593301435407,-0.013540669856459298,0.013540669856459298,1307.341813023777
zero_prior_games,task047,q25_q75,0.5,2594,0.7540478026214341,0.2540478026214341,0.2540478026214341,127.87968132767621
zero_prior_games,task049,q25_q75,0.5,2594,0.7602158828064765,0.26021588280647645,0.26021588280647645,128.27323062129702
zero_prior_games,task047,q10_q90,0.8,2594,0.8592906707787201,0.05929067077872008,0.05929067077872008,414.6694206023397
zero_prior_games,task049,q10_q90,0.8,2594,0.8357748650732459,0.0357748650732459,0.0357748650732459,329.4339173100097
zero_prior_games,task047,q10_q97_asymmetric,0.87,2594,0.9167309175019275,0.04673091750192748,0.04673091750192748,731.4413455320297
zero_prior_games,task049,q10_q97_asymmetric,0.87,2594,0.8777949113338473,0.007794911333847354,0.007794911333847354,534.3850243020481
