realised_cohort,quantile,tau,n,task047_pinball_loss,task049_pinball_loss,abs_diff_task049_minus_task047,pct_diff_task049_minus_task047
one_to_five_positive_points,points_q10,0.1,1776,27.820213423990424,29.557177906513857,1.7369644825234332,0.062435339946946014
one_to_five_positive_points,points_q25,0.25,1776,100.37214334841832,104.41601464355712,4.0438712951388,0.04028878093298706
one_to_five_positive_points,points_q50,0.5,1776,176.96184068813506,177.01905034359194,0.057209655456887276,0.0003232880898753167
one_to_five_positive_points,points_q75,0.75,1776,170.29300976376734,161.36933681584566,-8.923672947921688,-0.052401874629503124
one_to_five_positive_points,points_q90,0.9,1776,99.05428673044578,92.18096116618229,-6.873325564263496,-0.06938948117377013
one_to_five_positive_points,points_q97,0.97,1776,40.204326678469215,39.01238363731847,-1.1919430411507435,-0.029647133520807587
