model,interval,nominal_coverage,n,coverage,coverage_error,absolute_coverage_error,mean_width
task012,q25_q75,0.5,20094,0.5877376331243157,0.0877376331243157,0.0877376331243157,557.0821295888043
task047,q25_q75,0.5,20094,0.5910221956803026,0.09102219568030256,0.09102219568030256,558.4211222852056
task012,q10_q90,0.8,20094,0.7758037225042301,-0.024196277495769913,0.024196277495769913,1044.526159963654
task047,q10_q90,0.8,20094,0.7756544242062308,-0.02434557579376928,0.02434557579376928,1022.0992295002229
task012,q10_q97_asymmetric,0.87,20094,0.8697123519458545,-0.0002876480541454951,0.0002876480541454951,1352.5428623994903
task047,q10_q97_asymmetric,0.87,20094,0.857320593211904,-0.012679406788095982,0.012679406788095982,1285.8098223152433
