lead,quantile,tau,task047,task049,abs_diff_task049_minus_task047,pct_diff_task049_minus_task047
1,points_q10,0.1,71.75172935616888,71.67684021684765,-0.07488913932122898,-0.0010437259142492064
1,points_q25,0.25,142.87205055739636,142.52211114471456,-0.34993941268180606,-0.0024493202926434096
1,points_q50,0.5,199.66132290847898,195.90367815690487,-3.757644751574105,-0.01882009343039633
1,points_q75,0.75,174.16804037159827,169.92219295632017,-4.245847415278092,-0.024377879008222834
1,points_q90,0.9,103.8173771467454,103.22710719478836,-0.5902699519570405,-0.005685656565207735
1,points_q97,0.97,45.15053576198885,48.6687451309662,3.5182093689773524,0.0779217634874501
2,points_q10,0.1,71.81086759837909,72.06967591604798,0.258808317668894,0.0036040271664220334
2,points_q25,0.25,155.15654238263335,155.5191733347441,0.3626309521107487,0.002337194078587162
2,points_q50,0.5,223.15264557255213,222.00185620453337,-1.1507893680187635,-0.00515696045218794
2,points_q75,0.75,204.18701504925684,200.8823827812994,-3.3046322679574303,-0.016184340944306576
2,points_q90,0.9,125.65523877904181,126.55367055670101,0.8984317776591979,0.007149974695754973
2,points_q97,0.97,57.28667169631361,61.76739722048329,4.480725524169678,0.07821584657462326
3,points_q10,0.1,70.86566039408847,71.03132296427384,0.16566257018537556,0.0023376988129951153
3,points_q25,0.25,158.69984203848972,158.85328600882156,0.15344397033183554,0.0009668816828098703
3,points_q50,0.5,236.59833262779895,235.28320472158785,-1.315127906211103,-0.005558483407742253
3,points_q75,0.75,227.63774889852778,224.62008413593247,-3.0176647625953024,-0.013256433861241802
3,points_q90,0.9,147.5356252920355,149.06990938094904,1.5342840889135516,0.010399414283001503
3,points_q97,0.97,69.89133374275944,78.0080035802511,8.116669837491656,0.11613270777412403
4,points_q10,0.1,64.71869744508517,65.0844560094809,0.3657585643957333,0.005651513068631908
4,points_q25,0.25,150.61401156689655,150.48318803559735,-0.13082353129919966,-0.0008686013335558307
4,points_q50,0.5,237.69588624704681,235.78915621040963,-1.9067300366371853,-0.008021720807803315
4,points_q75,0.75,233.57656084503535,232.3105317424842,-1.2660291025511583,-0.0054201889863045635
4,points_q90,0.9,158.5691627951508,162.21098423199444,3.6418214368436566,0.022966769658413225
4,points_q97,0.97,79.10134430824115,89.98305333754979,10.881709029308638,0.13756667632480338
5,points_q10,0.1,59.5399407354324,59.53294761180921,-0.00699312362318949,-0.0001174526466907929
5,points_q25,0.25,135.68226987837528,135.56261395060469,-0.11965592777059442,-0.0008818832989590551
5,points_q50,0.5,221.2176320107125,219.97104408892756,-1.2465879217849363,-0.005635120087193457
5,points_q75,0.75,232.5366970254968,230.90069172446087,-1.6360053010359366,-0.007035471484556928
5,points_q90,0.9,171.3689467339542,173.38674564526397,2.017798911309768,0.011774588977560492
5,points_q97,0.97,88.34501806072828,104.27251921779715,15.927501157068875,0.18028748543715648
