gate,passed,detail
1,False,"primary pct diff=0.003866; bootstrap median not stored; CI=(-0.125946,1.200343)"
2,False,max quantile worsening=0.115567
3,False,candidate=0.129005; baseline=0.127288
4,False,q25-q75=0.591818; q10-q90=0.775605
5,False,max=0.165428
6,False,max=0.260216
7,False,improved_quantiles=3; any_worse_gt_5pct=True
8,True,unchanged=True; max_mean_delta=9.09494701773e-13
9,True,see integrity_checks.csv
