origin_year,lead,n,pred_zero_prob,realised_zero_freq,zero_prob_signed_error,pred_short_prob,realised_short_freq,short_prob_signed_error,pred_meaningful_prob,realised_meaningful_freq,meaningful_prob_signed_error
2018,1,785,0.34582273157330407,0.25987261146496815,0.08595012010833591,0.05864731491303189,0.14267515923566879,-0.0840278443226369,0.5955299535136639,0.597452229299363,-0.0019222757856991457
2018,2,785,0.4052568676165836,0.33503184713375794,0.07022502048282564,0.05790475130129503,0.1286624203821656,-0.07075766908087058,0.5368383810821213,0.5363057324840764,0.0005326485980449158
2018,3,785,0.47438484865043007,0.4,0.07438484865043005,0.05515862223618651,0.07261146496815286,-0.017452842731966352,0.4704565291133834,0.5273885350318471,-0.0569320059184637
2018,4,785,0.5289174916680893,0.46878980891719746,0.060127682750891864,0.048948662467997936,0.061146496815286625,-0.012197834347288689,0.4221338458639126,0.47006369426751593,-0.047929848403603315
2018,5,785,0.6063462941734012,0.5439490445859873,0.062397249587413994,0.04704899571491953,0.030573248407643312,0.016475747307276217,0.3466047101116792,0.42547770700636944,-0.07887299689469024
2019,1,821,0.36231505062449637,0.269183922046285,0.09313112857821138,0.0577524742348821,0.16321559074299635,-0.10546311650811425,0.5799324751406215,0.5676004872107187,0.012331987929902866
2019,2,821,0.40806185328362454,0.32521315468940315,0.08284869859422139,0.054701175401159985,0.08891595615103533,-0.03421478074987534,0.5372369713152154,0.5858708891595615,-0.04863391784434612
2019,3,821,0.4664945756723574,0.4043848964677223,0.062109679204635115,0.05031554053730586,0.07186358099878197,-0.021548040461476112,0.48318988379033667,0.5237515225334958,-0.0405616387431591
2019,4,821,0.5197219618647375,0.48112058465286234,0.038601377211875176,0.04480544798915607,0.0438489646772229,0.0009564833119331678,0.43547259014610634,0.47503045066991473,-0.039557860523808386
2019,5,821,0.6190950067717113,0.5408038976857491,0.07829110908596215,0.044221071912265056,0.05237515225334957,-0.008154080341084516,0.3366839213160236,0.40682095006090135,-0.07013702874487776
2020,1,815,0.39353620256140465,0.25644171779141106,0.13709448476999359,0.059406011955556504,0.11533742331288344,-0.05593141135732693,0.5470577854830387,0.6282208588957056,-0.08116307341266682
2020,2,815,0.45375541082359094,0.33496932515337424,0.1187860856702167,0.058054439806884114,0.08466257668711656,-0.026608136880232447,0.4881901493695249,0.5803680981595092,-0.09217794878998431
2020,3,815,0.5081836082071385,0.4171779141104294,0.09100569409670906,0.052060022271440694,0.05889570552147239,-0.006835683250031699,0.43975636952142083,0.5239263803680981,-0.0841700108466773
2020,4,815,0.5550042780433732,0.4834355828220859,0.07156869522128728,0.044780747770925916,0.0638036809815951,-0.019022933210669182,0.4002149741857008,0.452760736196319,-0.052545762010618224
2020,5,815,0.6583200850410569,0.5558282208588957,0.10249186418216116,0.043577338707519696,0.05030674846625767,-0.006729409758737974,0.2981025762514234,0.39386503067484663,-0.09576245442342324
2021,1,796,0.3703360848414104,0.23618090452261306,0.13415518031879733,0.05412118232752115,0.11809045226130653,-0.06396926993378538,0.5755427328310684,0.6457286432160804,-0.07018591038501198
2021,2,796,0.43516979600763445,0.3203517587939699,0.11481803721366457,0.05407290949607028,0.08417085427135679,-0.03009794477528651,0.5107572944962953,0.5954773869346733,-0.08472009243837808
2021,3,796,0.4899112525720919,0.3944723618090452,0.09543889076304668,0.04861389602646561,0.07537688442211055,-0.026762988395644935,0.46147485140144245,0.5301507537688442,-0.06867590236740179
2021,4,796,0.5645651382946538,0.4798994974874372,0.08466564080721661,0.04419082675629563,0.06658291457286432,-0.022392087816568686,0.39124403494905036,0.4535175879396985,-0.06227355299064813
2022,1,799,0.3377803651358338,0.23153942428035043,0.10624094085548338,0.046371881458991425,0.12390488110137672,-0.0775329996423853,0.6158477534051747,0.6445556946182729,-0.028707941213098165
2022,2,799,0.4052052980144604,0.31038798498122655,0.09481731303323387,0.047195423276490414,0.10012515644555695,-0.05292973316906653,0.5475992787090491,0.5894868585732165,-0.04188757986416736
2022,3,799,0.46574691716342637,0.4005006257822278,0.06524629138119858,0.04315954428974573,0.08135168961201501,-0.038192145322269284,0.4910935385468278,0.5181476846057572,-0.027054146058929418
2023,1,802,0.35024842334428985,0.24937655860349128,0.10087186474079857,0.045659894028134064,0.11346633416458853,-0.06780644013645445,0.6040916826275761,0.6371571072319202,-0.03306542460434414
2023,2,802,0.39412346641098855,0.3341645885286783,0.059958877882310246,0.04329121260907697,0.09975062344139651,-0.05645941083231954,0.5625853209799344,0.5660847880299252,-0.003499467049990823
2024,1,804,0.3342875111145012,0.2562189054726368,0.07806860564186441,0.041145891685318764,0.11940298507462686,-0.0782570933893081,0.6245665972001799,0.6243781094527363,0.00018848774744362196
