origin_year,lead,n,pred_zero_prob,pred_short_prob,pred_meaningful_prob,pred_short_game_mean,pred_short_rate_mean,moment_error_after_max_abs,realised_zero_freq,realised_short_freq,realised_meaningful_freq,realised_short_game_mean,realised_short_rate_mean,zero_prob_signed_error,short_prob_signed_error,meaningful_prob_signed_error
2018,1,785,0.36581791036847916,0.038652136117856846,0.5955299535136639,2.9038674033149174,49.27529834254144,4.547473508864641e-13,0.25987261146496815,0.14267515923566879,0.597452229299363,2.6517857142857144,52.67383928571429,0.10594529890351101,-0.10402302311781195,-0.0019222757856991457
2018,2,785,0.4166594483437944,0.04650217057408415,0.5368383810821213,2.9070866141732283,48.841159055118105,4.547473508864641e-13,0.33503184713375794,0.1286624203821656,0.5363057324840764,2.6831683168316833,52.88742574257426,0.08162760121003648,-0.08216024980808145,0.0005326485980449158
2018,3,785,0.4733943253072158,0.05614914557940073,0.4704565291133834,2.9151801965780852,48.06512923188934,4.1064453125e-10,0.4,0.07261146496815286,0.5273885350318471,3.1052631578947367,45.2540350877193,0.07339432530721579,-0.01646231938875213,-0.0569320059184637
2018,4,785,0.5129395672655995,0.06492658687048787,0.4221338458639126,2.9239363987967346,47.48540180489902,4.208984375e-10,0.46878980891719746,0.061146496815286625,0.47006369426751593,3.125,45.93541666666667,0.04414975834840207,0.003780090055201246,-0.047929848403603315
2018,5,785,0.5757069803958723,0.07768830949244845,0.3466047101116792,2.9345549738219896,46.98865968586387,3.5595703125e-10,0.5439490445859873,0.030573248407643312,0.42547770700636944,3.0,48.6875,0.03175793580988506,0.04711506108480514,-0.07887299689469024
2019,1,821,0.3817794090962313,0.03828811576314715,0.5799324751406215,2.900885391047713,49.46398917855387,1.0595703125e-10,0.269183922046285,0.16321559074299635,0.5676004872107187,2.701492537313433,51.3270895522388,0.11259548704994632,-0.12492747497984921,0.012331987929902866
2019,2,821,0.41854027416830086,0.04422275451648369,0.5372369713152154,2.903867403314917,49.27529834254144,1.259765625e-10,0.32521315468940315,0.08891595615103533,0.5858708891595615,3.095890410958904,44.88191780821918,0.09332711947889771,-0.044693201634551635,-0.04863391784434612
2019,3,821,0.46492155032515897,0.051888565884504294,0.48318988379033667,2.9070866141732283,48.8411590551181,1.7089843750000002e-10,0.4043848964677223,0.07186358099878197,0.5237515225334958,3.2033898305084745,43.63559322033898,0.06053665385743667,-0.019975015114277676,-0.0405616387431591
2019,4,821,0.5046688081297015,0.05985860172419209,0.43547259014610634,2.9151801965780852,48.06512923188934,2.0898437500000004e-10,0.48112058465286234,0.0438489646772229,0.47503045066991473,2.8333333333333335,43.05277777777778,0.02354822347683916,0.016009637046969193,-0.039557860523808386
2019,5,821,0.5887887011986974,0.07452737748527893,0.3366839213160236,2.923936398796734,47.48540180489903,2.7685546875e-10,0.5408038976857491,0.05237515225334957,0.40682095006090135,3.186046511627907,48.56046511627907,0.047984803512948315,0.022152225231929362,-0.07013702874487776
2020,1,815,0.413643586540663,0.03929862797629815,0.5470577854830387,2.894514767932489,49.39352875860537,3.0322265625000003e-10,0.25644171779141106,0.11533742331288344,0.6282208588957056,3.0106382978723403,42.284893617021275,0.15720186874925196,-0.07603879533658528,-0.08116307341266682
2020,2,815,0.4651596488177577,0.04665020181271739,0.4881901493695249,2.9008853910477126,49.46398917855387,9.619140625e-11,0.33496932515337424,0.08466257668711656,0.5803680981595092,3.217391304347826,43.47826086956522,0.13019032366438343,-0.03801237487439917,-0.09217794878998431
2020,3,815,0.5067053938340224,0.05353823664455676,0.43975636952142083,2.903867403314917,49.27529834254143,1.19140625e-10,0.4171779141104294,0.05889570552147239,0.5239263803680981,2.9166666666666665,44.637499999999996,0.08952747972359293,-0.0053574688769156345,-0.0841700108466773
2020,4,815,0.5395656457124619,0.06021938010183722,0.4002149741857008,2.9070866141732283,48.841159055118105,2.2265625000000003e-10,0.4834355828220859,0.0638036809815951,0.452760736196319,3.25,47.87692307692308,0.05613006289037603,-0.0035843008797578763,-0.052545762010618224
2020,5,815,0.6274730510679366,0.07442437268063994,0.2981025762514234,2.915180196578085,48.06512923188934,4.4824218750000007e-10,0.5558282208588957,0.05030674846625767,0.39386503067484663,2.926829268292683,42.69512195121951,0.07164483020904089,0.024117624214382266,-0.09576245442342324
2021,1,796,0.389407596868959,0.03504967029997254,0.5755427328310684,2.899979711909109,49.1369182389937,1.0986328125e-10,0.23618090452261306,0.11809045226130653,0.6457286432160804,3.1702127659574466,41.7031914893617,0.15322669234634592,-0.08304078196133399,-0.07018591038501198
2021,2,796,0.4467945378180943,0.042448167685610404,0.5107572944962953,2.894514767932489,49.39352875860538,1.0107421875e-10,0.3203517587939699,0.08417085427135679,0.5954773869346733,2.955223880597015,43.61940298507463,0.12644277902412443,-0.041722686585746384,-0.08472009243837808
2021,3,796,0.48943991346211113,0.0490852351364463,0.46147485140144245,2.9008853910477126,49.46398917855387,1.064453125e-10,0.3944723618090452,0.07537688442211055,0.5301507537688442,3.216666666666667,45.67166666666667,0.09496755165306592,-0.02629164928566425,-0.06867590236740179
2021,4,796,0.5505817723558138,0.05817419269513572,0.39124403494905036,2.9038674033149166,49.27529834254143,1.2109375000000002e-10,0.4798994974874372,0.06658291457286432,0.4535175879396985,2.8679245283018866,42.06792452830189,0.07068227486837664,-0.008408721877728599,-0.06227355299064813
2022,1,799,0.3541137418864973,0.030038504708327914,0.6158477534051747,2.9107176492748166,48.6811923149369,7.71484375e-11,0.23153942428035043,0.12390488110137672,0.6445556946182729,2.95959595959596,41.17979797979798,0.12257431760614687,-0.0938663763930488,-0.028707941213098165
2022,2,799,0.41504361292883435,0.037357108362116476,0.5475992787090491,2.899979711909109,49.13691823899371,9.66796875e-11,0.31038798498122655,0.10012515644555695,0.5894868585732165,3.0875,44.426249999999996,0.1046556279476078,-0.06276804808344047,-0.04188757986416736
