quantile,tau,task047,task049,abs_diff_task049_minus_task047,pct_diff_task049_minus_task047
points_q10,0.1,68.99152587229098,69.088795804882,0.09726993259101846,0.001409882320490681
points_q25,0.25,149.35411087735793,149.2762604526515,-0.07785042470641201,-0.0005212472843840158
points_q50,0.5,221.36258875983748,219.14236610737188,-2.220222652465594,-0.010029800721540966
points_q75,0.75,208.5959042280745,205.4433089578098,-3.1525952702646975,-0.015113409258590784
points_q90,0.9,134.69555703178776,135.96699660031163,1.2714395685238742,0.00943935788634675
points_q97,0.97,63.644839571706605,71.00011007923925,7.355270507532644,0.11556742945742987
