source_row,stable_player_id,legacy_key,player_name,affl_team,eligibilities,match_status,legacy_name,legacy_afl_club,legacy_eligibilities,identity_evidence_json,missing_identity_evidence,previous_vnext_included,previous_vnext_exclusion_reason
392,afl-player-v1-5da25d5d202bbfbd2a53,jesse-mellor,Jesse Mellor,Geelong Cats,G-FWD,matched,Jesse Mellor,Geelong,MID,"{""birth_date"":""2007-01-04"",""birth_year"":2007,""draft_pick"":"""",""draft_type"":""PDN"",""draft_year"":2025,""legacy_key"":""jesse-mellor""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
637,afl-player-v1-ce576813a5ba90f27db6,josaia-delana,Josaia Delana,St Kilda Saints,G-FWD,matched,Josaia Delana,GWS,G-FWD,"{""birth_date"":""2006-07-01"",""birth_year"":2006,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2024,""legacy_key"":""josaia-delana""}",draft_pick,True,
197,afl-player-v1-f24afe9ae1de1cfd811f,josh-draper,Josh Draper,Essendon Bombers,"G-DEF,K-DEF",matched,Josh Draper,Fremantle,K-DEF,"{""birth_date"":""2004-02-08"",""birth_year"":2004,""draft_pick"":"""",""draft_type"":""PDN"",""draft_year"":2022,""legacy_key"":""josh-draper""}",draft_pick,True,
347,afl-player-v1-48fb2da2b909a8256894,josh-lai,Josh Lai,Fremantle Dockers,"MID,G-DEF",matched,Josh Lai,Port Adelaide,G-DEF,"{""birth_date"":""2005-10-01"",""birth_year"":2005,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2024,""legacy_key"":""josh-lai""}",draft_pick,True,
746,afl-player-v1-3fa9040b66b98c844502,kalani-white,Kalani White,West Coast Eagles,"RUCK,G-FWD,K-FWD",matched,Kalani White,Melbourne,K-FWD,"{""birth_date"":""2007-05-05"",""birth_year"":2007,""draft_pick"":"""",""draft_type"":""PDN"",""draft_year"":2025,""legacy_key"":""kalani-white""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
436,afl-player-v1-c4d9086a24b07776bf5c,kobe-mcdonald,Kobe McDonald,Hawthorn Hawks,G-DEF,matched,Kobe McDonald,,G-DEF,"{""birth_date"":""2007-12-08"",""birth_year"":2007,""draft_pick"":"""",""draft_type"":""IRE"",""draft_year"":2025,""legacy_key"":""kobe-mcdonald""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
293,afl-player-v1-0b95f7bd2062dce45d7e,lachie-sullivan,Lachie Sullivan,Free agents,G-FWD,matched,Lachie Sullivan,Collingwood,G-FWD,"{""birth_date"":""1997-09-25"",""birth_year"":1997,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2023,""legacy_key"":""lachie-sullivan""}",draft_pick,True,
158,afl-player-v1-b98529f9eca3cbf471fd,lachlan-bramble,Lachlan Bramble,Collingwood Magpies,"G-DEF,G-FWD",matched,Lachlan Bramble,Western Bulldogs,G-FWD,"{""birth_date"":"""",""birth_year"":1998,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2020,""legacy_key"":""lachlan-bramble""}","birth_date,draft_pick",True,
715,afl-player-v1-720fb343b3fe75fb92c5,lachlan-gulbin,Lachlan Gulbin,Sydney Swans,G-FWD,matched,Lachlan Gulbin,Gold Coast,G-FWD,"{""birth_date"":""2006-11-24"",""birth_year"":2006,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2024,""legacy_key"":""lachlan-gulbin""}",draft_pick,True,
55,afl-player-v1-df9f00b1d0c9ef2defb9,lachlan-mcandrew,Lachlan McAndrew,Brisbane Lions,RUCK,matched,Lachlan McAndrew,Sydney,RUCK,"{""birth_date"":"""",""birth_year"":1999,""draft_pick"":12,""draft_type"":""SSP"",""draft_year"":2024,""legacy_key"":""lachlan-mcandrew""}",birth_date,True,
