draftguru_player_slug,draftguru_name,decision,legacy_key,reason,reviewer_notes
zac_langdon/1,Zac Langdon,match,zac-giles-langdon,user_confirmed_match,
zac_williams/1,Zac Williams,match,zachary-williams,user_confirmed_match,
zach_sproule/1,Zach Sproule,match,zachary-sproule,user_confirmed_match,
aaron_sandilands/1,Aaron Sandilands,exclude,,not_in_repository_database_or_intentionally_excluded,
brendon_goddard/1,Brendon Goddard,exclude,,not_in_repository_database_or_intentionally_excluded,
curtly_hampton/1,Curtly Hampton,exclude,,not_in_repository_database_or_intentionally_excluded,
daniel_wells/1,Daniel Wells,exclude,,not_in_repository_database_or_intentionally_excluded,
gary_ablett/2,Gary Ablett,exclude,,not_in_repository_database_or_intentionally_excluded,
jarrad_waite/1,Jarrad Waite,exclude,,not_in_repository_database_or_intentionally_excluded,
kade_simpson/1,Kade Simpson,exclude,,not_in_repository_database_or_intentionally_excluded,
luke_hodge/1,Luke Hodge,exclude,,not_in_repository_database_or_intentionally_excluded,
maverick_weller/1,Maverick Weller,exclude,,not_in_repository_database_or_intentionally_excluded,
rohan_bewick/1,Rohan Bewick,exclude,,not_in_repository_database_or_intentionally_excluded,
shane_mcadam/1,Shane McAdam,exclude,,not_in_repository_database_or_intentionally_excluded,
shaun_burgoyne/1,Shaun Burgoyne,exclude,,not_in_repository_database_or_intentionally_excluded,
bailey_williams/1,Bailey Williams,match,bailey-williams-wb,duplicate_name_identity_correction,"Western Bulldogs player, born 1997, National Draft 2015 pick 48."
bailey_williams/2,Bailey Williams,match,bailey-williams-wc,duplicate_name_identity_correction,"West Coast player, born 2000, National Draft 2018 pick 35."
callum_brown/1,Callum Brown,match,callum-brown,duplicate_name_identity_correction,"Collingwood player, born 1998, National Draft 2016 pick 35."
callum_brown/2,Callum Brown,match,callum-brown-ire,duplicate_name_identity_correction,"Greater Western Sydney Irish player, born 2000, International 2018."
josh_kennedy/1,Josh Kennedy,match,joshua-kennedy,duplicate_name_identity_correction,"West Coast key forward, born 1987, National Draft 2005 pick 4."
josh_kennedy/2,Josh Kennedy,match,josh-p-kennedy,duplicate_name_identity_correction,"Sydney midfielder, born 1988, National Draft 2006 pick 40."
sam_reid/2,Sam Reid,match,samuel-reid,duplicate_name_identity_correction,"Greater Western Sydney player, born 1989, National Draft 2007 pick 35."
sam_reid/3,Sam Reid,match,sam-reid-syd,duplicate_name_identity_correction,"Sydney player, born 1991, National Draft 2009 pick 38."
