model,interval,nominal_coverage,n,coverage,coverage_error,absolute_coverage_error,mean_width
task012,q25_q75,0.5,20094,0.5702199661590525,0.07021996615905246,0.07021996615905246,506.68839539305253
task047,q25_q75,0.5,20094,0.5877376331243157,0.0877376331243157,0.0877376331243157,557.0821295888043
task012,q10_q90,0.8,20094,0.7466905543943466,-0.05330944560565343,0.05330944560565343,949.3495338810641
task047,q10_q90,0.8,20094,0.7758037225042301,-0.024196277495769913,0.024196277495769913,1044.526159963654
task012,q10_q97_asymmetric,0.87,20094,0.8434358514979596,-0.026564148502040363,0.026564148502040363,1241.484114773564
task047,q10_q97_asymmetric,0.87,20094,0.8697123519458545,-0.0002876480541454951,0.0002876480541454951,1352.5428623994903
