quantile,tau,task012,task047,abs_diff_task047_minus_task012,pct_diff_task047_minus_task012
points_q10,0.1,69.170283170761,68.99152587206888,-0.1787572986921191,-0.0025843077474588345
points_q25,0.25,150.11928673778547,149.35411096078616,-0.7651757769993139,-0.005097118389163761
points_q50,0.5,225.52850593350138,221.36258886970987,-4.165917063791511,-0.018471798261368612
points_q75,0.75,219.91719816967984,208.59590428934703,-11.321293880332803,-0.051479802282665126
points_q90,0.9,152.47201902794973,134.6955570162309,-17.77646201171882,-0.11658835585078864
points_q97,0.97,82.60660395332401,63.64483955221943,-18.96176440110458,-0.22954296017082032
