gate,passed,detail
1,True,"primary pct diff=-0.059089; bootstrap absolute CI=(-10.398821,-7.263832)"
2,True,max individual quantile pct diff=-0.002584
3,False,mean abs calibration error=0.127288
4,False,q25-q75=0.587738; q10-q90=0.775804
5,False,max lead central interval abs coverage error=0.166254
6,False,max subgroup abs coverage error=0.254048
7,False,one-to-five positive rows=1776; current exact non-meaningful zero-mass cannot represent positive points for 1-5-game locked-target seasons; mean zero-quantile proportion=0.474850
