realised_cohort,quantile,tau,task012,task047,abs_diff_task047_minus_task012,pct_diff_task047_minus_task012
meaningful_six_plus,points_q10,0.1,120.267088158874,119.78437133629616,-0.4827168225778422,-0.004013706741948958
meaningful_six_plus,points_q25,0.25,248.31832434285042,244.87071414787354,-3.4476101949768747,-0.013883833197169923
meaningful_six_plus,points_q50,0.5,355.7297205989551,339.7472662852326,-15.982454313722485,-0.04492864494654043
meaningful_six_plus,points_q75,0.75,337.63025506203365,303.5092783765573,-34.120976685476364,-0.10106018691721579
meaningful_six_plus,points_q90,0.9,233.69095187468562,189.88533964715975,-43.80561222752587,-0.1874510411126922
meaningful_six_plus,points_q97,0.97,130.98207961851924,91.40685782943822,-39.57522178908101,-0.30214226178376824
one_to_five_positive_points,points_q10,0.1,26.91134680062807,27.820213423990424,0.9088666233623535,0.03377261755406243
one_to_five_positive_points,points_q25,0.25,94.71558221752652,100.37214334841832,5.656561130891802,0.05972154737855891
one_to_five_positive_points,points_q50,0.5,162.65887330426767,176.96184068813506,14.302967383867383,0.08793229101687204
one_to_five_positive_points,points_q75,0.75,153.5187790519582,170.29300976376734,16.77423071180914,0.10926500858980859
one_to_five_positive_points,points_q90,0.9,90.40217647888466,99.05428673044578,8.652110251561126,0.09570687995086058
one_to_five_positive_points,points_q97,0.97,38.284377732902755,40.204326678469215,1.9199489455664605,0.05014967094310111
zero_game_zero_point,points_q10,0.1,5.014156059958574,5.0182277879791615,0.004071728020587528,0.0008120465282488971
zero_game_zero_point,points_q25,0.25,20.686063081592096,22.289567869225483,1.603504787633387,0.07751618958661581
zero_game_zero_point,points_q50,0.5,51.39646990387313,59.99963681708407,8.603166913210934,0.16738828424017146
zero_game_zero_point,points_q75,0.75,64.75954772588064,79.86841547801808,15.108867752137442,0.23330718454198382
zero_game_zero_point,points_q90,0.9,49.28233453608208,63.02221485387997,13.73988031779789,0.27879929891994526
zero_game_zero_point,points_q97,0.97,22.892964562618598,28.901596793519413,6.008632230900815,0.2624663229816978
