origin_year,lead,quantile,tau,task012,task047,abs_diff_task047_minus_task012,pct_diff_task047_minus_task012
2018,1,points_q10,0.1,71.01392260387613,70.63621523851796,-0.3777073653581624,-0.0053187790718878854
2018,1,points_q25,0.25,140.7848147627995,138.25486441749754,-2.5299503453019554,-0.017970335434006345
2018,1,points_q50,0.5,199.7865675594637,195.31186509878393,-4.474702460679765,-0.022397413977032928
2018,1,points_q75,0.75,179.45085546211234,173.86448128723225,-5.586374174880092,-0.031130384753498982
2018,1,points_q90,0.9,112.6858776902616,102.09739269526193,-10.588484994999675,-0.0939646139519286
2018,1,points_q97,0.97,54.99202280486806,44.02991807421327,-10.962104730654787,-0.19933990734533208
2018,2,points_q10,0.1,56.616252616351346,56.168011310214055,-0.44824130613729096,-0.007917184296437068
2018,2,points_q25,0.25,128.29619428221514,128.4838502543552,0.1876559721400497,0.0014626776202516182
2018,2,points_q50,0.5,181.54763577338534,180.73579900988187,-0.8118367635034645,-0.004471756186992322
2018,2,points_q75,0.75,166.3080060325449,162.0263999410065,-4.281606091538407,-0.025745038941183247
2018,2,points_q90,0.9,103.48603841317443,92.30719326893237,-11.17884514424206,-0.10802273732433189
2018,2,points_q97,0.97,47.99618128217446,37.01341642376641,-10.982764858408053,-0.2288258058248271
2018,3,points_q10,0.1,68.7798667993071,68.26663386390976,-0.5132329353973404,-0.007461964660311188
2018,3,points_q25,0.25,155.2667157641528,153.01455467038915,-2.2521610937636467,-0.01450511194675256
2018,3,points_q50,0.5,236.446157460651,230.70273777618158,-5.743419684469416,-0.024290602757734505
2018,3,points_q75,0.75,236.61611969110794,224.67455316960832,-11.941566521499624,-0.050468102245480234
2018,3,points_q90,0.9,171.6353307692977,149.96219770457438,-21.673133064723316,-0.1262743105838453
2018,3,points_q97,0.97,99.34901800433936,74.63806404072335,-24.710953963616006,-0.24872871881367448
2018,4,points_q10,0.1,63.22525287247048,62.8392749042341,-0.3859779682363751,-0.00610480703042688
2018,4,points_q25,0.25,147.20701891360665,147.4300136479231,0.222994734316444,0.001514837648110488
2018,4,points_q50,0.5,229.54006699415848,224.32322544336745,-5.216841550791031,-0.0227273679018478
2018,4,points_q75,0.75,234.34144823767255,219.92442094408602,-14.417027293586528,-0.06152145684004038
2018,4,points_q90,0.9,169.88547059889143,144.83340804609327,-25.052062552798162,-0.1474644209683323
2018,4,points_q97,0.97,95.79027987073452,72.95989536128354,-22.83038450945098,-0.23833717304365065
2018,5,points_q10,0.1,61.64502639714536,60.970009594598594,-0.6750168025467644,-0.010950061051121927
2018,5,points_q25,0.25,135.7797138227161,134.10552724637807,-1.6741865763380304,-0.012330167218675763
2018,5,points_q50,0.5,222.4362709323189,216.8602313887754,-5.576039543543516,-0.02506803193639291
2018,5,points_q75,0.75,235.80262125718505,220.9514600232065,-14.851161233978559,-0.06298132376476301
2018,5,points_q90,0.9,185.11235460516187,158.87041559222257,-26.241939012939298,-0.1417622236447288
2018,5,points_q97,0.97,112.05215439528929,80.74366081450995,-31.30849358077934,-0.2794100100059795
2019,1,points_q10,0.1,58.366762746405186,58.95381997377821,0.5870572273730232,0.01005807414613174
2019,1,points_q25,0.25,117.00638032719058,118.47398605052149,1.4676057233309052,0.012542954659625984
2019,1,points_q50,0.5,160.50238957365056,161.15820999888894,0.6558204252383746,0.004086047734120712
2019,1,points_q75,0.75,145.14070199161927,142.35271884465294,-2.787983146966326,-0.019208830525894175
2019,1,points_q90,0.9,89.15340141657639,81.75200469803151,-7.4013967185448735,-0.08301866895645693
2019,1,points_q97,0.97,38.85420623930513,30.83386008967715,-8.02034614962798,-0.20642156733894498
2019,2,points_q10,0.1,73.36975669207797,73.1078597447001,-0.2618969473778776,-0.0035695490783351023
2019,2,points_q25,0.25,156.03883218736314,154.97006105610308,-1.068771131260064,-0.006849392015294888
2019,2,points_q50,0.5,229.19270567262473,224.14694470582396,-5.045760966800771,-0.022015364546584027
2019,2,points_q75,0.75,218.30216524537136,207.93525274933523,-10.366912496036122,-0.04748882121431881
2019,2,points_q90,0.9,149.8036682236314,131.13118435258085,-18.67248387105056,-0.12464637276555682
2019,2,points_q97,0.97,82.34795075709049,63.60563779002157,-18.74231296706892,-0.2275990209198391
2019,3,points_q10,0.1,69.02707092791411,69.2258982107751,0.19882728286098938,0.0028804247404417226
2019,3,points_q25,0.25,153.61694561432347,152.8945016179485,-0.7224439963749774,-0.00470289259746625
2019,3,points_q50,0.5,233.01921343098618,227.67335290564128,-5.345860525344904,-0.022941715606332173
2019,3,points_q75,0.75,228.2459474492368,213.40797947145958,-14.837967977777225,-0.06500868095840902
2019,3,points_q90,0.9,156.73091417854005,132.3563515014642,-24.374562677075858,-0.155518538284729
2019,3,points_q97,0.97,81.37983396991818,58.35152471265556,-23.02830925726262,-0.282973165880075
2019,4,points_q10,0.1,64.66636156432355,64.09638832742966,-0.5699732368938868,-0.00881406071264633
2019,4,points_q25,0.25,146.49185952256207,146.5429700322921,0.05111050973002307,0.00034889658644923706
2019,4,points_q50,0.5,234.28023390069757,232.39580455179092,-1.8844293489066501,-0.008043484153705377
2019,4,points_q75,0.75,239.62931313309443,223.20594020006578,-16.423372933028645,-0.06853657725883815
2019,4,points_q90,0.9,175.6910701063251,148.32321486695977,-27.367855239365326,-0.15577260257338513
2019,4,points_q97,0.97,99.10340699856708,68.184027948827,-30.919379049740087,-0.3119910806919801
2019,5,points_q10,0.1,60.13248627170798,59.55134092431343,-0.5811453473945534,-0.009664415749727269
2019,5,points_q25,0.25,137.49003368164142,137.0992378215096,-0.3907958601318171,-0.0028423577307189122
2019,5,points_q50,0.5,224.35364807262593,219.97994412861172,-4.37370394401421,-0.019494686097541816
2019,5,points_q75,0.75,246.69957884305182,233.03089985266908,-13.668678990382745,-0.05540617075426238
2019,5,points_q90,0.9,194.48451142538858,170.18924288896054,-24.29526853642804,-0.12492135419096652
2019,5,points_q97,0.97,118.55931351388672,87.17737394252846,-31.38193957135826,-0.2646940053990995
2020,1,points_q10,0.1,74.06682407992126,74.23317519817836,0.16635111825709714,0.002245959919620655
2020,1,points_q25,0.25,150.86442112939673,149.77975899935257,-1.0846621300441655,-0.007189648307561187
2020,1,points_q50,0.5,220.0993377061496,213.37108716977627,-6.728250536373338,-0.0305691539397365
2020,1,points_q75,0.75,199.75025870486985,186.92997818567963,-12.82028051919022,-0.06418154650869379
2020,1,points_q90,0.9,126.94736505236307,112.97271846636566,-13.974646585997405,-0.11008221068813176
2020,1,points_q97,0.97,61.988451262482265,49.815050162760365,-12.1734010997219,-0.19638175905016841
2020,2,points_q10,0.1,72.546419818725,72.50612582935699,-0.040293989368009875,-0.0005554235407990398
2020,2,points_q25,0.25,158.4245203063388,157.86451954795038,-0.5600007583884121,-0.0035348111347003755
2020,2,points_q50,0.5,231.4315290732033,224.80428099153175,-6.627248081671553,-0.028635891177884024
2020,2,points_q75,0.75,219.63335322358571,202.78720331393902,-16.846149909646698,-0.07670123714086993
2020,2,points_q90,0.9,143.35397943277832,123.07512957943337,-20.27884985334495,-0.1414599715584047
2020,2,points_q97,0.97,73.06218847378362,54.012484141751095,-19.049704332032526,-0.26073273645324757
2020,3,points_q10,0.1,70.70875670588153,70.6924771113323,-0.016279594549232,-0.00023023449014876923
2020,3,points_q25,0.25,155.01040689876837,153.58679618920274,-1.4236107095656223,-0.009183968599574934
2020,3,points_q50,0.5,241.27620517251194,234.66510709917264,-6.611098073339292,-0.02740053901549211
2020,3,points_q75,0.75,244.6429569086498,227.37419299655906,-17.268763912090748,-0.07058761932205937
2020,3,points_q90,0.9,173.10496092632604,149.4750085256614,-23.62995240066465,-0.13650650030025208
2020,3,points_q97,0.97,96.51117444234926,70.16272591365514,-26.34844852869412,-0.27300930364735443
2020,4,points_q10,0.1,65.59465909059675,65.86785912196642,0.27320003136966875,0.004164973721295443
2020,4,points_q25,0.25,153.1661887950854,152.8332517113701,-0.3329370837152794,-0.002173698296826475
2020,4,points_q50,0.5,247.87600761347832,246.17036034527928,-1.7056472681990442,-0.006881050266303786
2020,4,points_q75,0.75,260.2211806875621,245.15306627875864,-15.068114408803439,-0.057905026673809326
2020,4,points_q90,0.9,197.59018341143047,167.52056863357205,-30.06961477785842,-0.1521817241054239
2020,4,points_q97,0.97,117.42680377350267,85.37778383795823,-32.049019935544436,-0.27292763581781393
2020,5,points_q10,0.1,57.960705449111146,58.151028331117324,0.19032288200617842,0.003283653650028118
2020,5,points_q25,0.25,136.93489377706533,135.7735732953134,-1.1613204817519147,-0.008480822160950327
2020,5,points_q50,0.5,230.15682724227514,226.66143721246138,-3.4953900298137626,-0.015186992589771546
2020,5,points_q75,0.75,257.2535088982404,243.19764245579057,-14.055866442449826,-0.054638191341482484
2020,5,points_q90,0.9,210.15874676022278,184.59579802597767,-25.56294873424511,-0.12163637787301208
2020,5,points_q97,0.97,130.83148941637907,96.84281101695335,-33.98867839942572,-0.25978973831945545
2021,1,points_q10,0.1,74.33385636468392,73.80162254542121,-0.5322338192627143,-0.007160045843061884
2021,1,points_q25,0.25,152.72154400508612,151.4104463263548,-1.311097678731329,-0.008584890149405937
2021,1,points_q50,0.5,216.3490066680453,209.32642803330376,-7.022578634741535,-0.03245949099972812
2021,1,points_q75,0.75,186.4157601218793,174.2879261769014,-12.12783394497788,-0.06505798617589338
2021,1,points_q90,0.9,112.22411437164222,101.94993747268394,-10.274176898958274,-0.09155052776744785
2021,1,points_q97,0.97,50.55734217710283,40.46338306673012,-10.093959110372715,-0.19965367394143238
2021,2,points_q10,0.1,73.99488051444041,73.46567311362885,-0.5292074008115577,-0.007151946149953991
2021,2,points_q25,0.25,159.76372843203552,157.75575230878206,-2.0079761232534565,-0.012568410508194055
2021,2,points_q50,0.5,235.41191934418106,228.6176552402666,-6.794264103914458,-0.02886117288726145
2021,2,points_q75,0.75,225.25551373597693,209.82344749055392,-15.432066245423016,-0.06850916095004456
2021,2,points_q90,0.9,148.81060816916397,129.31169152097024,-19.498916648193727,-0.1310317650609147
2021,2,points_q97,0.97,75.00545245587315,58.91848383172664,-16.086968624146515,-0.21447732261345565
2021,3,points_q10,0.1,73.74104755714711,73.61404865874104,-0.1269988984060717,-0.001722228021071322
2021,3,points_q25,0.25,165.00953751418874,165.64774522211727,0.6382077079285295,0.003867701937372267
2021,3,points_q50,0.5,250.28677181094116,246.48324430722226,-3.8035275037188967,-0.015196678099280304
2021,3,points_q75,0.75,256.9648971052401,243.23687401322073,-13.728023092019356,-0.05342372925900863
2021,3,points_q90,0.9,178.38135391842175,157.52567290835717,-20.855681010064586,-0.11691626143617236
