metric,observed_diff_task047_minus_task012,bootstrap_seed,replications,ci_low,ci_high
primary_mean_pinball,-4.800038493008123,48047,2000,-5.953845471183593,-3.5856320360225693
points_q10,-0.10663151180842555,48047,2000,-0.30299638431084586,0.03999131633644741
points_q25,-0.27716891815529665,48047,2000,-0.771350648323559,0.21610747587689524
points_q50,-1.4139287683889017,48047,2000,-2.5200121717934367,-0.24516128026928247
points_q75,-4.837275759865114,48047,2000,-6.867811456421401,-2.946120481275721
points_q90,-9.828440474021075,48047,2000,-12.237796518793557,-7.508398367646026
points_q97,-12.336785525809923,48047,2000,-14.599115591115002,-9.996614392440573
