prior_history_cohort,model,interval,nominal_coverage,n,coverage,coverage_error,absolute_coverage_error,mean_width
50_plus_prior_games,task012,q25_q75,0.5,9976,0.5253608660785886,0.025360866078588562,0.025360866078588562,617.6604646289655
50_plus_prior_games,task047,q25_q75,0.5,9976,0.5381916599839615,0.03819165998396146,0.03819165998396146,655.5474852428669
50_plus_prior_games,task012,q10_q90,0.8,9976,0.7299518845228549,-0.07004811547714518,0.07004811547714518,1147.6327437538343
50_plus_prior_games,task047,q10_q90,0.8,9976,0.7490978348035284,-0.050902165196471616,0.050902165196471616,1205.2144970385364
50_plus_prior_games,task012,q10_q97_asymmetric,0.87,9976,0.842121090617482,-0.027878909382518025,0.027878909382518025,1451.094632667141
50_plus_prior_games,task047,q10_q97_asymmetric,0.87,9976,0.8533480352846833,-0.016651964715316714,0.016651964715316714,1498.8525911868403
under_50_prior_games,task012,q25_q75,0.5,7524,0.5737639553429027,0.0737639553429027,0.0737639553429027,510.8367766405645
under_50_prior_games,task047,q25_q75,0.5,7524,0.5960925039872408,0.09609250398724078,0.09609250398724078,574.5011570721163
under_50_prior_games,task012,q10_q90,0.8,7524,0.7488038277511961,-0.051196172248803906,0.051196172248803906,937.7792989524415
under_50_prior_games,task047,q10_q90,0.8,7524,0.7824295587453483,-0.017570441254651792,0.017570441254651792,1048.6225888903184
under_50_prior_games,task012,q10_q97_asymmetric,0.87,7524,0.8394471026049973,-0.030552897395002665,0.030552897395002665,1244.236110837453
under_50_prior_games,task047,q10_q97_asymmetric,0.87,7524,0.8751993620414673,0.005199362041467315,0.005199362041467315,1372.6852707423384
zero_prior_games,task012,q25_q75,0.5,2594,0.7324595219737856,0.2324595219737856,0.2324595219737856,67.8796894548306
zero_prior_games,task047,q25_q75,0.5,2594,0.7540478026214341,0.2540478026214341,0.2540478026214341,127.87968132767621
zero_prior_games,task012,q10_q90,0.8,2594,0.8049344641480339,0.00493446414803389,0.00493446414803389,220.3522886660294
zero_prior_games,task047,q10_q90,0.8,2594,0.8592906707787201,0.05929067077872008,0.05929067077872008,414.6694206023397
zero_prior_games,task012,q10_q97_asymmetric,0.87,2594,0.8600616808018504,-0.009938319198149581,0.009938319198149581,427.38213139228844
zero_prior_games,task047,q10_q97_asymmetric,0.87,2594,0.9167309175019275,0.04673091750192748,0.04673091750192748,731.4413455320297
