metric,pooled_table_diff,bootstrap_observed_diff,abs_delta
primary_mean_pinball,-8.861561738773219,-8.861561738773199,1.9539925233402755e-14
points_q10,-0.1787572986921191,-0.17875729869211182,7.271960811294775e-15
points_q25,-0.7651757769993139,-0.765175776999307,6.994405055138486e-15
points_q50,-4.165917063791511,-4.165917063791531,1.9539925233402755e-14
points_q75,-11.321293880332803,-11.321293880332847,4.440892098500626e-14
points_q90,-17.77646201171882,-17.776462011718806,1.4210854715202004e-14
points_q97,-18.96176440110458,-18.96176440110459,7.105427357601002e-15
