Player Name,AFFL Team,Position/s
Paddy Dow,Brisbane Lions,MID
Nikolas Cox,Essendon Bombers,MID
Nick Larkey,Brisbane Lions,"G-FWD,K-FWD"
Toby Bedford,Brisbane Lions,"MID,G-FWD"
Isaac Quaynor,Brisbane Lions,G-DEF
Connor Budarick,Brisbane Lions,"G-FWD,G-DEF"
Oskar Baker,Brisbane Lions,"G-DEF,MID,G-FWD"
Lewis Melican,Brisbane Lions,"G-DEF,K-DEF"
Jack Martin,Brisbane Lions,G-FWD
Isaac Heeney,West Coast Eagles,MID
Oliver Hayes-Brown,Brisbane Lions,RUCK
Alex Neal-Bullen,West Coast Eagles,G-FWD
Will Brodie,Brisbane Lions,MID
Mark O'Connor,Brisbane Lions,"G-DEF,MID"
Jamie Elliott,Brisbane Lions,G-FWD
Brayden Fiorini,Brisbane Lions,MID
Kade Chandler,Brisbane Lions,G-FWD
Tylah Williams,Melbourne Demons,"MID,G-FWD"
Jack Payne,Brisbane Lions,"G-DEF,K-DEF"
Harry Perryman,Brisbane Lions,G-DEF
Will Setterfield,Brisbane Lions,MID
Gryan Miers,Brisbane Lions,G-FWD
Jaeger O'Meara,Brisbane Lions,MID
Daniel McStay,Brisbane Lions,"G-FWD,K-FWD"
Oliver Henry,Brisbane Lions,"G-FWD,K-FWD"
Lachlan Weller,Brisbane Lions,MID
Josh Daicos,Brisbane Lions,G-DEF
Campbell Chesser,Essendon Bombers,MID
Harry Rowston,Carlton Blues,MID
Billy Wilson,Carlton Blues,G-DEF
Zane Peucker,Carlton Blues,"MID,G-FWD"
Charlie Ballard,Carlton Blues,"G-DEF,K-DEF"
Campbell Gray,Carlton Blues,"G-DEF,K-DEF,RUCK"
Max Beattie,Carlton Blues,"MID,G-FWD"
Caiden Cleary,Carlton Blues,G-FWD
Fred Rodriguez,Carlton Blues,G-FWD
Max Michalanney,Carlton Blues,G-DEF
Finnegan Davis,Carlton Blues,G-DEF
Thomas Burton,Carlton Blues,MID
Koby Coulson,Carlton Blues,MID
Noah Roberts-Thomson,Carlton Blues,MID
Mykelti Lefau,Carlton Blues,"G-FWD,K-FWD"
Lloyd Meek,Carlton Blues,RUCK
Liam Fawcett,Carlton Blues,"G-FWD,K-FWD"
Tom Powell,Carlton Blues,"MID,G-FWD"
Luke Trainor,Carlton Blues,G-DEF
Oscar Allen,Carlton Blues,"G-FWD,K-FWD"
Harry Sheezel,Carlton Blues,"MID,G-FWD"
Jake Soligo,Carlton Blues,"MID,G-FWD"
Rhett Bazzo,Carlton Blues,"G-DEF,K-DEF"
Vigo Visentini,Carlton Blues,RUCK
Jasper Alger,Carlton Blues,G-FWD
Luker Kentfield,Carlton Blues,"G-FWD,K-FWD"
Kye Annand,Carlton Blues,"K-DEF,G-DEF"
Matthew Jefferson,Carlton Blues,"G-FWD,K-FWD"
Sam Banks,Carlton Blues,"G-DEF,MID"
Hudson O'Keeffe,Carlton Blues,"K-FWD,RUCK"
Harry Demattia,Carlton Blues,MID
Isaiah Dudley,Carlton Blues,G-FWD
Sam Lalor,Carlton Blues,"G-FWD,MID"
Jonty Faull,Carlton Blues,"G-FWD,K-FWD"
Tom Brown,Carlton Blues,G-DEF
Jai Culley,Carlton Blues,MID
Liam Baker,Carlton Blues,G-DEF
Errol Gulden,Carlton Blues,MID
Angus Clarke,Carlton Blues,"G-DEF,MID"
