key,player,position,pick,tenure,age,p_meaningful,cond_games,cond_avg,exp_games,exp_avg,exp_points,p80,p90,p100,p110,p120,lead,forecast_year,games_resid_sd,avg_resid_sd
willem-duursma,Willem Duursma,MID,1.0,1,19.0,0.9471830985915493,18.817818396512,82.98530047565383,17.823919537541293,78.60227404208057,1479.1233184767411,0.5641025641025641,0.3541666666666667,0.027777777777777776,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
zeke-uwland,Zeke Uwland,DEF,2.0,1,19.0,0.8787878787878788,15.216208633608149,60.356073622868536,13.371819708322313,53.040185911005686,807.070534787226,0.017241379310344827,0.0017543859649122807,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
harry-dean,Harry Dean,DEF,3.0,1,19.0,0.891156462585034,16.203195281788332,66.27464775024353,14.439582189893004,59.06108064817621,956.9782232958489,0.03914590747330961,0.013824884792626729,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
cooper-duff-tytler,Cooper Duff-Tytler,FWD,4.0,1,19.0,0.8787878787878788,15.339016872442278,61.99988056972877,13.479742100025032,54.484743530973766,835.7424003122968,0.03296703296703297,0.002793296089385475,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
dylan-patterson,Dylan Patterson,DEF,5.0,1,19.0,0.3333333333333333,8.712713314754463,33.81497495112066,2.904237771584821,11.27165831704022,98.20672749823922,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
daniel-annable,Daniel Annable,MID,6.0,1,19.0,0.6,10.291118449099237,46.6263835381681,6.174671069459542,27.97583012290086,287.9025815066512,0.004143646408839779,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
sam-cumming,Sam Cumming,MID,7.0,1,19.0,0.8787878787878788,15.413040248686277,68.67090694238671,13.544792945815214,60.34716064633984,930.1332159359724,0.06435643564356436,0.018140589569160998,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
samuel-grlj,Samuel Grlj,MID,8.0,1,19.0,0.891156462585034,16.47527098467866,69.28311463115664,14.682044210836084,61.74209535157496,1017.217752079066,0.06435643564356436,0.018140589569160998,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
sullivan-robey,Sullivan Robey,MID,9.0,1,19.0,0.8787878787878788,15.654368271217551,67.88079190491217,13.756869086827544,59.65281712855918,933.8271677460597,0.06435643564356436,0.018140589569160998,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
jacob-farrow,Jacob Farrow,DEF,10.0,1,19.0,0.9471830985915493,17.552707683845483,73.42360629658597,16.62562805265646,69.54559892176628,1220.7135685717233,0.1797752808988764,0.05154639175257732,0.006711409395973154,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
xavier-taylor,Xavier Taylor,DEF,11.0,1,19.0,0.6486486486486487,10.944528103796408,46.107432145663395,7.099153364624698,29.907523553943825,327.32373205109127,0.004143646408839779,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
latrelle-pickett,Latrelle Pickett,FWD,12.0,1,21.0,0.8354430379746836,13.510544820982254,52.83891740124407,11.28729060993454,44.143905676988716,596.408216222169,0.004143646408839779,0.0017543859649122807,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
dyson-sharp,Dyson Sharp,MID,13.0,1,19.0,0.7894736842105263,13.905279256180785,61.057595939238134,10.977852044353252,48.203365215188,670.2812544048602,0.03636363636363636,0.002793296089385475,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
harry-kyle,Harry Kyle,DEF,14.0,1,19.0,0.6982758620689655,11.174200909799076,47.78390744410089,7.802674773221769,33.36634916355321,372.84228918004993,0.004143646408839779,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
oskar-taylor,Oskar Taylor,DEF,15.0,1,19.0,0.25136612021857924,8.565081889893328,33.30342447238166,2.152971404016902,8.371352599615062,71.70132054487439,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
lachy-dovaston,Lachy Dovaston,FWD,16.0,1,19.0,0.7894736842105263,13.27326007275647,54.73510325651206,10.47888953112353,43.21192362356216,573.5631004996296,0.004143646408839779,0.0017543859649122807,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
jai-murray,Jai Murray,MID,17.0,1,19.0,0.6050420168067226,10.742072165619922,50.16055959825489,6.4994050077700365,30.34924614348195,326.0137922454452,0.017241379310344827,0.0017543859649122807,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
beau-addinsall,Beau Addinsall,MID,18.0,1,19.0,0.24858757062146894,8.115999838588694,34.24255628161649,2.0175366830389976,8.512273877915963,69.08561341918872,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
josh-lindsay,Josh Lindsay,DEF,19.0,1,19.0,0.9471830985915493,17.938288534006382,74.90185190304089,16.990843717069424,70.9457681757676,1272.6456598036468,0.2112676056338028,0.11049723756906077,0.008403361344537815,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
cameron-nairn,Cameron Nairn,MID,20.0,1,19.0,0.6,10.353710346306535,46.384570596807514,6.212226207783921,27.830742358084507,288.1514450982911,0.004143646408839779,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
lachlan-carmichael,Lachlan Carmichael,DEF,21.0,1,19.0,0.25136612021857924,8.476503034976648,32.996494185138246,2.130705680923092,8.29420072413311,70.30581761081983,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
mitchell-marsh,Mitchell Marsh,FWD,22.0,1,19.0,0.24858757062146894,8.210007273843257,32.28349819321737,2.040905762989284,8.025276387014488,65.88757751199147,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
aidan-schubert,Aidan Schubert,FWD,23.0,1,19.0,0.24858757062146894,8.195244131357143,32.23234314534347,2.0372358292639228,8.01255987793849,65.66488431682312,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
harley-barker,Harley Barker,MID,24.0,1,19.0,0.24858757062146894,8.027420983672013,33.93562599437308,1.995517080686828,8.435974823459976,67.71912131557141,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
adam-sweid,Adam Sweid,FWD,25.0,1,19.0,0.24858757062146894,8.165717846384917,32.13003304959567,2.0298959618131995,7.987126859786494,65.22062434029888,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
blake-thredgold,Blake Thredgold,DEF,26.0,1,19.0,0.24858757062146894,8.402687322546079,32.74071894576875,2.088803628203545,8.138935783128955,68.3889325239143,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
louis-emmett,Louis Emmett,RUC,27.0,1,19.0,0.6050420168067226,9.888609628094871,41.546926751144085,5.983024312796896,25.137636353633393,248.5762728740868,0.004143646408839779,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
avery-thomas,Avery Thomas,DEF,28.0,1,19.0,0.24858757062146894,8.373161037573853,32.638408850020944,2.0814637607528224,8.113502764976959,67.93566522995279,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
sam-allen,Sam Allen,MID,29.0,1,19.0,0.24858757062146894,7.953605271241446,33.67985075500358,1.9771674120600204,8.372392278079985,66.59070335583814,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
thomas-matthews,Thomas Matthews,FWD,30.0,1,19.0,0.24858757062146894,8.091902133954349,31.874257810226165,2.011546293186392,7.923544314406505,64.11654514622785,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
zane-peucker,Zane Peucker,FWD,31.0,1,19.0,0.24858757062146894,8.077138991468235,31.823102762352264,2.0078763594610303,7.910827805330507,63.89685572122612,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
tyan-prindable,Tyan Prindable,MID,32.0,1,19.0,0.24074074074074073,7.909315843783105,33.526385611381876,1.9040945549848214,8.071166906443784,63.83740829095369,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
hunter-holmes,Hunter Holmes,MID,33.0,1,19.0,0.24074074074074073,7.894552701296991,33.47523056350798,1.9005404651270532,8.058851802325995,63.6210302654048,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
jack-dalton,Jack Dalton,MID,34.0,1,19.0,0.5328947368421053,9.975288832017927,44.521273082296986,5.315778917062185,23.725152103066158,236.66524481164248,0.004143646408839779,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
jevan-phillipou,Jevan Phillipou,FWD,35.0,1,19.0,0.24858757062146894,8.018086421523781,31.618482570856663,1.9931966245595842,7.8599617690265156,63.021852733927545,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
max-kondogiannis,Max Kondogiannis,DEF,36.0,1,19.0,0.6050420168067226,11.040399531605193,45.285645616159954,6.679905598954401,27.399718355995937,302.5038377036517,0.004143646408839779,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
samuel-swadling,Samuel Swadling,MID,37.0,1,19.0,0.18435754189944134,7.835500131352537,33.27061037201237,1.4445335437689035,6.1336879456782585,48.06051270403747,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
koby-evans,Koby Evans,FWD,38.0,1,19.0,0.24074074074074073,7.973796994065441,31.46501742723496,1.919617794867606,7.574911602852861,60.40080736913957,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
tylah-williams,Tylah Williams,FWD,39.0,1,19.0,0.24074074074074073,7.959033851579328,31.41386237936106,1.9160637050098381,7.562596498735069,60.19096153926772,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
tobyn-murray,Tobyn Murray,FWD,40.0,1,21.0,0.18435754189944134,7.062345139831614,28.698870130857028,1.3019965900248227,5.2908531526161005,37.365831047941086,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
charlie-banfield,Charlie Banfield,MID,41.0,1,19.0,0.6050420168067226,10.840439770237463,49.30799048489136,6.55892154165628,29.83340600766536,323.40724096713683,0.017241379310344827,0.0017543859649122807,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
billy-cootee,Billy Cootee,MID,42.0,1,24.0,0.5328947368421053,8.113230770377525,37.88221682116321,4.323497976319603,20.187233963909346,163.78368776479957,0.00375234521575985,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
cody-curtin,Cody Curtin,FWD,43.0,1,19.0,0.5328947368421053,10.202824265579014,41.04283915545858,5.437031352051975,21.871512971000957,223.1512032654547,0.00375234521575985,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
tai-hayes,Tai Hayes,FWD,44.0,1,22.0,0.18435754189944134,6.562329785256361,27.16233133904636,1.2098149883433515,5.0075806379247485,32.86139557232663,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
talor-byrne,Talor Byrne,FWD,45.0,1,19.0,0.7268041237113402,13.19521676383942,54.186932077716044,9.590337957223497,39.383285685350316,519.6709914904117,0.004143646408839779,0.0017543859649122807,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
koby-coulson,Koby Coulson,MID,46.0,1,19.0,0.18435754189944134,7.702631848977516,32.810214941147265,1.4200382738338437,6.048810575742233,46.59176098914415,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
jack-ison,Jack Ison,FWD,47.0,1,19.0,0.6050420168067226,10.859942046369483,46.946184317719805,6.570721238139519,28.404414040973325,308.4702903460539,0.004143646408839779,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
hugo-mikunda,Hugo Mikunda,FWD,48.0,1,19.0,0.18435754189944134,7.8261655692043055,30.95346694849595,1.4428126468365479,5.706505079890315,44.660053576727044,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
max-king-syd,Maxwell King,FWD,49.0,1,19.0,0.18435754189944134,7.8114024267181925,30.902311900622053,1.4400909501770969,5.6970742610085345,44.50213970763582,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
archie-ludowyke,Archie Ludowyke,FWD,50.0,1,19.0,0.18435754189944134,7.796639284232079,30.85115685274815,1.4373692535176459,5.687643442126754,44.34450429559041,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
finnegan-davis,Finnegan Davis,DEF,51.0,1,19.0,0.24074074074074073,8.033608760393243,31.461842748921228,1.934016923798373,7.574147328443999,60.84773633029678,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
kye-fincher,Kye Fincher,MID,52.0,1,19.0,0.18181818181818182,7.614052994060835,32.50328465390386,1.3843732716474244,5.909688118891611,44.99667851561241,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
hussien-el-achkar,Hussien El Achkar,FWD,53.0,1,19.0,0.5328947368421053,10.337333051297128,42.41585420660143,5.50871037602018,22.603185465359974,233.6566561756645,0.00375234521575985,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
noah-roberts-thomson,Noah Roberts-Thomson,FWD,54.0,1,19.0,0.5328947368421053,10.163696707894355,42.62778011545945,5.416180482496334,22.716119666790895,230.8797506734968,0.00375234521575985,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
zac-mccarthy,Zac McCarthy,FWD,55.0,1,19.0,0.18435754189944134,7.722823571801511,30.59538161337865,1.4237607702203903,5.6404893477178515,43.56050409105075,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
matthew-leray,Matthew LeRay,MID,56.0,1,19.0,0.18181818181818182,7.555000424116381,32.29866446240826,1.373636440748433,5.872484447710593,44.36662249307038,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
angus-anderson,Angus Anderson,MID,57.0,1,23.0,0.7268041237113402,12.506964843403772,58.377522160776394,9.090113623298617,42.42902383850243,530.6583094880904,0.03914590747330961,0.002793296089385475,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
will-darcy,Will Darcy,DEF,58.0,1,19.0,0.18435754189944134,7.930266762990447,31.103757413803923,1.4620044870317583,5.734212260645416,45.473832902528656,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
fred-rodriguez,Fred Rodriguez,MID,1.0,1,26.0,0.12852664576802508,3.965987327920188,21.243885797878605,0.5097350484160743,2.7304053846803225,10.828753155727204,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
riley-onley,Riley Onley,MID,2.0,1,26.0,0.12852664576802508,3.9512241854340746,21.192730750004706,0.5078375912313388,2.7238305979629875,10.762465335696714,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
jack-watkins,Jack Watkins,MID,3.0,1,26.0,0.6982758620689655,9.725692623387271,44.68758394794132,6.791216400813526,31.20426120502799,303.48305301999034,0.004143646408839779,0.0017543859649122807,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
leon-kickett,Leon Kickett,FWD,4.0,1,26.0,0.12852664576802508,4.0747579056608645,19.335982757353392,0.5237149659313337,2.4851890064310003,10.126543551016187,0.001,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
ollie-greeves,Ollie Greeves,MID,5.0,1,19.0,0.18181818181818182,6.993674250391329,30.362695808588455,1.2715771364347872,5.5204901470160825,38.60850979072542,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
nick-driscoll,Nick Driscoll,MID,6.0,1,26.0,0.12852664576802508,3.8921716154896204,20.988110558509103,0.5002477624923963,2.6975314510936466,10.499255345837218,0.0010162601626016261,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
tom-blamires,Tom Blamires,MID,80.0,1,24.0,0.7894736842105263,10.89092822043536,54.03384785601153,8.598101226659495,42.65830093895647,464.58849353190527,0.03636363636363636,0.002793296089385475,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
thomas-burton,Thomas Burton,FWD,80.0,1,19.0,0.5210526315789473,7.738971664714677,33.45101376941233,4.03241155161449,17.429738753535894,134.88825433699364,0.00375234521575985,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
paddy-cross,Paddy Cross,FWD,80.0,1,23.0,0.6982758620689655,9.38242935725145,44.53462900720101,6.551523947735927,31.097456461924846,291.7696884442125,0.004143646408839779,0.0017543859649122807,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
will-lewis,Will Lewis,FWD,80.0,1,27.0,0.6982758620689655,7.6705628240693695,37.2148390881092,5.3561688685311974,25.986223846007288,199.32896257112844,0.00375234521575985,0.0017543859649122807,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
milan-murdock,Milan Murdock,FWD,80.0,1,26.0,0.8354430379746836,10.911270483005556,54.080328192067405,9.115744960485655,45.18103367944872,492.98247917824875,0.03636363636363636,0.002793296089385475,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
chris-scerri,Chris Scerri,FWD,80.0,1,20.0,0.6982758620689655,10.343340896029137,46.37325577843442,7.2225052808479315,32.38132515563093,334.93108474985445,0.004143646408839779,0.0017543859649122807,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
mitch-zadow,Mitch Zadow,FWD,80.0,1,22.0,0.24858757062146894,4.987326726686445,25.20894827659654,1.2397874348825062,6.2666312100014006,31.2537373199274,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
kye-annand,Kye Annand,DEF,2.0,0,23.0,0.7268041237113402,8.045387362678966,40.55942815767147,5.847420712050176,29.478759640369468,237.16804027807925,0.004143646408839779,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
xavier-bamert,Xavier Bamert,MID,5.0,0,19.0,0.6,8.297019424526445,39.72497295122041,4.978211654715866,23.834983770732244,197.75932332903798,0.00375234521575985,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
campbell-lake,Campbell Lake,FWD,7.0,0,22.0,0.6050420168067226,7.261224333225619,34.964970914077156,4.393345815060878,21.15527651944164,153.61320863908622,0.00375234521575985,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
lukas-cooke,Lukas Cooke,DEF,11.0,0,23.0,0.5328947368421053,6.276923656656123,29.174015162273818,3.3449395801917503,15.546679132527496,97.58531802940395,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
marcus-herbert,Marcus Herbert,DEF,13.0,0,24.0,0.7268041237113402,7.810038981021678,41.12293298276332,5.676368537752869,29.88831727097746,233.42892296347745,0.004143646408839779,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
joel-fitzgerald,Joel Fitzgerald,MID,16.0,0,23.0,0.6982758620689655,7.720139943165451,42.84773251408659,5.39078737410691,29.919537358974257,230.9830154460481,0.017241379310344827,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
mitch-podhajski,Mitch Podhajski,FWD,17.0,0,27.0,0.6,5.235898069940051,29.97883094666933,3.14153884196403,17.9872985680016,94.179661855635,0.00375234521575985,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
sam-lalor,Sam Lalor,MID,1.0,2,20.0,0.891156462585034,17.196954666475264,81.6942003615482,15.32517728781129,72.8023146079103,1251.9781039267032,0.5641025641025641,0.20103092783505155,0.015384615384615385,0.002902757619738752,0.001,1,2027,5.279668799388872,15.018206619497652
finn-o-sullivan,Finn O'Sullivan,MID,2.0,2,20.0,0.9471830985915493,19.158901893672276,84.64082983208729,18.146988061260007,80.17036346771648,1535.976128458028,0.660550458715596,0.3467741935483871,0.027777777777777776,0.0128,0.001,1,2027,5.279668799388872,15.018206619497652
jagga-smith,Jagga Smith,MID,3.0,2,20.0,0.9471830985915493,17.17243448241527,76.14132851208136,16.26543970341446,72.11977947095029,1238.4721878511316,0.2857142857142857,0.20103092783505155,0.01282051282051282,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
sid-draper,Sid Draper,MID,4.0,2,20.0,0.5328947368421053,12.228727301797282,48.9657584581671,6.516624417405131,26.09359496783905,319.09145718525355,0.004143646408839779,0.0017543859649122807,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
levi-ashcroft,Levi Ashcroft,MID,5.0,2,20.0,0.9728260869565217,20.600178604660357,83.39623720844301,20.040391142577196,81.1300351103875,1671.293213476348,0.660550458715596,0.20103092783505155,0.027777777777777776,0.0128,0.001,1,2027,5.279668799388872,15.018206619497652
harvey-langford,Harvey Langford,MID,6.0,2,20.0,0.9471830985915493,19.70251942800531,80.35963741979666,18.661893401878267,76.1152903729764,1499.662987341833,0.4111111111111111,0.11702127659574468,0.015384615384615385,0.0128,0.001,1,2027,5.279668799388872,15.018206619497652
josh-smillie,Josh Smillie,MID,7.0,2,20.0,0.18435754189944134,7.2854736214274585,31.77586850316455,1.3431320084195872,5.8581210089632965,42.6791860819321,0.0014970059880239522,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
tobie-travaglia,Tobie Travaglia,DEF,8.0,2,20.0,0.6982758620689655,14.436345565125722,57.36301989733654,10.080551644613651,40.0552121696919,578.2508845661015,0.017241379310344827,0.0017543859649122807,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
leo-lombard,Leo Lombard,FWD,9.0,2,20.0,0.8787878787878788,16.18487874385017,65.51745467292822,14.22307525974712,57.575945015603594,931.8596886401288,0.03914590747330961,0.013824884792626729,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
alix-tauru,Alix Tauru,DEF,10.0,2,20.0,0.7894736842105263,15.366295373166677,63.004245991591254,12.131285820921061,49.74019420388783,764.3225160556136,0.03636363636363636,0.002793296089385475,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
xavier-lindsay,Xavier Lindsay,MID,11.0,2,20.0,0.8787878787878788,15.774293201263967,69.67093914307617,13.86225766171682,61.2259768227033,965.7965099351139,0.2112676056338028,0.018140589569160998,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
taj-hotton,Taj Hotton,MID,12.0,2,20.0,0.6050420168067226,13.825859695122215,65.25103160614154,8.365226034023525,39.47961576169908,545.8396283385871,0.05142857142857143,0.013824884792626729,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
isaac-kako,Isaac Kako,FWD,13.0,2,20.0,0.8787878787878788,16.78641471101654,68.53733608888021,14.75169777634787,60.229780199318974,1011.0420683791408,0.06435643564356436,0.018140589569160998,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
jonty-faull,Jonty Faull,FWD,14.0,2,20.0,0.8354430379746836,15.493120700884807,58.613441689414415,12.943619826055661,48.96819179115635,758.6701059244618,0.017241379310344827,0.0017543859649122807,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
joe-berry,Joe Berry,FWD,15.0,2,20.0,0.9471830985915493,17.221766397800828,70.58307316869855,16.31216605988881,66.85509395204193,1151.362810545093,0.06435643564356436,0.018140589569160998,0.0040650406504065045,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
bo-allan,Bo Allan,DEF,16.0,2,20.0,0.8787878787878788,15.735957462914277,66.38394571934907,13.828568679530727,58.33740684427646,917.9949525982585,0.05142857142857143,0.013824884792626729,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
murphy-reid,Murphy Reid,FWD,17.0,2,20.0,0.9728260869565217,20.99082376487415,88.19515095348328,20.420420945176485,85.79854359061689,1800.9821077935117,0.7027027027027027,0.4492753623188406,0.08130081300813008,0.02631578947368421,0.001,1,2027,5.279668799388872,15.018206619497652
oliver-hannaford,Oliver Hannaford,FWD,18.0,2,20.0,0.5328947368421053,9.754211198376506,39.13849126615465,5.197967809661165,20.85669600367452,203.44061772017653,0.00375234521575985,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
harrison-oliver,Harrison Oliver,DEF,19.0,2,20.0,0.5328947368421053,9.813057236603417,42.53223573805069,5.2293265537162945,22.665204570934907,222.41494973390962,0.00375234521575985,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652
