lead,current_games_mae,candidate_games_mae,games_mae_change_pct,current_points_mae,candidate_points_mae,points_mae_change_pct,current_cond_games_mae,candidate_cond_games_mae,cond_games_mae_change_pct,current_cond_avg_mae,candidate_cond_avg_mae,cond_avg_mae_change_pct
1,5.203781770775,5.330465146388,2.434448276138,400.221124425665,407.893262453649,1.916974782127,4.529758947884,4.433947901730,-2.115146683439,11.826322152286,10.663084011686,-9.836009248027
2,5.918453391178,6.069138848071,2.546027601017,455.321497048372,468.939462293057,2.990846101703,4.947438398505,4.675009938428,-5.506454818317,13.701319891547,12.626080025105,-7.847710110805
3,6.343522337562,6.518040128323,2.751118092977,490.655086272203,506.508468078794,3.231064397404,5.541553785536,4.828922138650,-12.859780387686,15.619999664402,13.700500376056,-12.288728102349
4,6.356118491380,6.704006063442,5.473270715995,486.792404457118,519.473886274210,6.713638404761,6.118719048403,4.871540251740,-20.383004789019,17.558285164312,13.963356004323,-20.474261161311
5,5.988709920011,6.312684810725,5.409760950875,458.315607431562,489.787068552839,6.866766178365,6.613716570121,4.822186975152,-27.088091483428,19.836957772410,14.149037778215,-28.673348299938
