lead,eventual_played,n,actual_points,pred_points,mae_points,actual_games,pred_games,mae_games,p_meaningful,model
1,False,498,0.000000000000,90.380075872365,90.380075872365,0.000000000000,1.645375441943,1.645375441943,0.139109031967,candidate
1,False,498,0.000000000000,19.425761136903,19.425761136903,0.000000000000,0.787016244217,0.787016244217,0.139109031967,current
1,True,221,304.048416289593,111.324035695479,237.252045860041,6.049773755656,2.009278133003,4.532797302673,0.166911941915,candidate
1,True,221,304.048416289593,28.001225082018,279.024885125331,6.049773755656,1.068038561380,5.090516465002,0.166911941915,current
2,False,401,0.000000000000,150.572673414878,150.572673414878,0.000000000000,2.515866014399,2.515866014399,0.193208099214,candidate
2,False,401,0.000000000000,48.715139199477,48.715139199477,0.000000000000,1.367699687387,1.367699687387,0.193208099214,current
2,True,214,459.558411214953,195.804493254572,337.780858090218,8.616822429907,3.255906709591,6.206098485465,0.243029452735,candidate
2,True,214,459.558411214953,77.988327862195,394.383504767652,8.616822429907,1.998296509910,6.913513175859,0.243029452735,current
3,False,346,0.000000000000,205.599769230089,205.599769230089,0.000000000000,3.213990396352,3.213990396352,0.221618762469,candidate
3,False,346,0.000000000000,67.931147329027,67.931147329027,0.000000000000,1.774261589309,1.774261589309,0.221618762469,current
3,True,169,578.655621301775,264.022272869511,410.075640989815,10.130177514793,4.101646904611,6.930416373947,0.279992285453,candidate
3,True,169,578.655621301775,105.763975943408,488.472552108642,10.130177514793,2.539328961394,7.882093027212,0.279992285453,current
4,False,297,0.000000000000,200.774341511860,200.774341511860,0.000000000000,2.994698506217,2.994698506217,0.195904648639,candidate
4,False,297,0.000000000000,61.330731847808,61.330731847808,0.000000000000,1.661895726643,1.661895726643,0.195904648639,current
4,True,121,731.334710743802,269.008609195884,572.697602072237,11.644628099174,3.973711717182,8.749109956421,0.255038244672,candidate
4,True,121,731.334710743802,100.336273387058,653.724486678045,11.644628099174,2.491511857598,9.565727929047,0.255038244672,current
5,False,241,0.000000000000,200.528833048918,200.528833048918,0.000000000000,2.905702304977,2.905702304977,0.186162365666,candidate
5,False,241,0.000000000000,38.355098612159,38.355098612159,0.000000000000,1.355142739950,1.355142739950,0.186162365666,current
5,True,86,1039.368604651163,265.270810771807,832.930660056869,15.104651162791,3.792138802483,11.858752709789,0.238165192523,candidate
5,True,86,1039.368604651163,65.859430755942,978.587774760304,15.104651162791,2.038301988932,13.208396083521,0.238165192523,current
