threshold,selected_rho,test_n,test_actual,independence_pred,independence_brier,copula_pred,copula_brier,independence_mae_probability,copula_mae_probability
90,0.5,2209,0.07876867360796741,0.11024469412636978,0.045894159465045284,0.08854647653538555,0.041970528079573466,0.0907066100973005,0.08535800513052663
100,0.4,2209,0.04119511090991399,0.051716446138967156,0.026887549728159765,0.047562245359891356,0.025974502665861876,0.05615948300262746,0.05652859514108948
110,0.0,2209,0.021729289271163424,0.019430565814058384,0.014639408714563075,0.022502263467632413,0.01467255451184548,0.029106138528118657,0.032103893164327754
