lead,n,actual_event,pred_event,brier_event,auc_event,mae_games,mae_avg,mae_points,brier_80,auc_80,brier_90,auc_90,brier_100,auc_100,brier_110,auc_110,brier_120,auc_120
1,6321,0.2475874070558456,0.24103350501770807,0.06950187741983639,0.9591372727101733,2.219414182751197,9.329597229905335,167.5737520809087,0.034415976788111924,0.9686515298352485,0.024636909323723855,0.9593899933375365,0.012234018640747205,0.975336440154073,0.006101601938199478,0.9873748657981023,0.0022090229261787207,0.9411764705882353
2,6321,0.2431577282075621,0.22733460670618777,0.08030075584320677,0.9469668739650494,2.718758172047931,10.481061878889914,204.18366322823826,0.040625188053148555,0.9521967556925184,0.02767758604391531,0.9602296626323139,0.013476182384527106,0.9703272460677153,0.006823241938241049,0.9568112936672517,0.0018924014788078618,0.93509272467903
3,6321,0.22385698465432685,0.20567432915880618,0.08463334823594719,0.9389878838776776,2.9181376497736395,11.161713494255109,222.04155313429277,0.045041146915711434,0.9378376636203118,0.030953147680845415,0.943529382960882,0.015965531354802602,0.9496265368175208,0.006994353767287762,0.9669797480465636,0.0014184676592598256,0.9465304182509505
4,6321,0.19901914254073721,0.18385677057831673,0.08519249850590867,0.9315481844498585,3.0025629337513196,11.433086103504898,229.36197191111873,0.04618550390353907,0.9279403357623093,0.02889931436730372,0.9395538111146846,0.016411657517206583,0.9404166097188226,0.008310330228409869,0.945178713943678,0.0015751460471975542,0.9082554270321661
5,6321,0.16737857933871222,0.15890460388975092,0.08307431987235288,0.922637060019173,2.566607196949113,11.255719769416148,197.85242896289284,0.042350186908888254,0.927908294535653,0.026023521230477718,0.9390485188724664,0.016356694568983653,0.9319438347320851,0.007798667158275392,0.9452433831920193,0.0022041752825690086,0.9079594101791659
