key,player,position,pick,tenure,age,p_meaningful,cond_games,cond_avg,exp_games,exp_avg,exp_points,p80,p90,p100,p110,p120,lead,forecast_year,games_resid_sd,avg_resid_sd,age_band,tenure_band,draft_pick_band
willem-duursma,Willem Duursma,MID,1.0,1,19.0,0.9471830985915493,18.817818396512,82.98530047565383,17.823919537541293,78.60227404208057,1479.1233184767411,0.5641025641025641,0.3541666666666667,0.0277777777777777,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,1-10
zeke-uwland,Zeke Uwland,DEF,2.0,1,19.0,0.8787878787878788,15.216208633608147,60.356073622868536,13.371819708322311,53.040185911005686,807.070534787226,0.0172413793103448,0.0017543859649122,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,1-10
harry-dean,Harry Dean,DEF,3.0,1,19.0,0.891156462585034,16.203195281788332,66.27464775024353,14.439582189893004,59.06108064817621,956.9782232958488,0.0391459074733096,0.0138248847926267,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,1-10
cooper-duff-tytler,Cooper Duff-Tytler,FWD,4.0,1,19.0,0.8787878787878788,15.339016872442278,61.99988056972877,13.479742100025032,54.484743530973766,835.7424003122968,0.0329670329670329,0.0027932960893854,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,1-10
dylan-patterson,Dylan Patterson,DEF,5.0,1,19.0,0.3333333333333333,8.712713314754463,33.81497495112066,2.904237771584821,11.27165831704022,98.20672749823922,0.0014970059880239,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,1-10
daniel-annable,Daniel Annable,MID,6.0,1,19.0,0.6,10.291118449099235,46.6263835381681,6.174671069459542,27.97583012290086,287.9025815066512,0.0041436464088397,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,1-10
sam-cumming,Sam Cumming,MID,7.0,1,19.0,0.8787878787878788,15.413040248686276,68.67090694238671,13.544792945815214,60.34716064633984,930.1332159359724,0.0643564356435643,0.0181405895691609,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,1-10
samuel-grlj,Samuel Grlj,MID,8.0,1,19.0,0.891156462585034,16.47527098467866,69.28311463115664,14.682044210836084,61.74209535157496,1017.217752079066,0.0643564356435643,0.0181405895691609,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,1-10
sullivan-robey,Sullivan Robey,MID,9.0,1,19.0,0.8787878787878788,15.654368271217551,67.88079190491217,13.756869086827544,59.65281712855918,933.8271677460596,0.0643564356435643,0.0181405895691609,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,1-10
jacob-farrow,Jacob Farrow,DEF,10.0,1,19.0,0.9471830985915493,17.552707683845483,73.42360629658597,16.62562805265646,69.54559892176628,1220.7135685717233,0.1797752808988764,0.0515463917525773,0.0067114093959731,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,1-10
xavier-taylor,Xavier Taylor,DEF,11.0,1,19.0,0.6486486486486487,10.944528103796408,46.1074321456634,7.099153364624698,29.907523553943825,327.32373205109127,0.0041436464088397,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,11-30
latrelle-pickett,Latrelle Pickett,FWD,12.0,1,21.0,0.8354430379746836,13.510544820982254,52.83891740124407,11.28729060993454,44.14390567698872,596.408216222169,0.0041436464088397,0.0017543859649122,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,21-23,1-2,11-30
dyson-sharp,Dyson Sharp,MID,13.0,1,19.0,0.7894736842105263,13.905279256180783,61.05759593923813,10.977852044353252,48.203365215188,670.2812544048602,0.0363636363636363,0.0027932960893854,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,11-30
harry-kyle,Harry Kyle,DEF,14.0,1,19.0,0.6982758620689655,11.174200909799076,47.78390744410089,7.802674773221769,33.36634916355321,372.84228918004993,0.0041436464088397,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,11-30
oskar-taylor,Oskar Taylor,DEF,15.0,1,19.0,0.2513661202185792,8.565081889893328,33.30342447238166,2.152971404016902,8.371352599615062,71.70132054487439,0.0014970059880239,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,11-30
lachy-dovaston,Lachy Dovaston,FWD,16.0,1,19.0,0.7894736842105263,13.27326007275647,54.73510325651206,10.47888953112353,43.21192362356216,573.5631004996296,0.0041436464088397,0.0017543859649122,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,11-30
jai-murray,Jai Murray,MID,17.0,1,19.0,0.6050420168067226,10.742072165619922,50.16055959825489,6.4994050077700365,30.34924614348195,326.0137922454452,0.0172413793103448,0.0017543859649122,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,11-30
beau-addinsall,Beau Addinsall,MID,18.0,1,19.0,0.2485875706214689,8.115999838588694,34.24255628161649,2.0175366830389976,8.512273877915963,69.08561341918872,0.0014970059880239,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,11-30
josh-lindsay,Josh Lindsay,DEF,19.0,1,19.0,0.9471830985915493,17.938288534006382,74.90185190304089,16.990843717069424,70.9457681757676,1272.6456598036468,0.2112676056338028,0.1104972375690607,0.0084033613445378,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,11-30
cameron-nairn,Cameron Nairn,MID,20.0,1,19.0,0.6,10.353710346306537,46.38457059680752,6.212226207783921,27.830742358084507,288.1514450982911,0.0041436464088397,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,11-30
lachlan-carmichael,Lachlan Carmichael,DEF,21.0,1,19.0,0.2513661202185792,8.476503034976648,32.996494185138246,2.130705680923092,8.29420072413311,70.30581761081983,0.0014970059880239,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,11-30
mitchell-marsh,Mitchell Marsh,FWD,22.0,1,19.0,0.2485875706214689,8.210007273843257,32.28349819321737,2.040905762989284,8.025276387014488,65.88757751199147,0.0010162601626016,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,11-30
aidan-schubert,Aidan Schubert,FWD,23.0,1,19.0,0.2485875706214689,8.195244131357143,32.23234314534347,2.0372358292639228,8.01255987793849,65.66488431682312,0.0010162601626016,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,11-30
harley-barker,Harley Barker,MID,24.0,1,19.0,0.2485875706214689,8.027420983672013,33.93562599437308,1.995517080686828,8.435974823459976,67.71912131557141,0.0014970059880239,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,11-30
adam-sweid,Adam Sweid,FWD,25.0,1,19.0,0.2485875706214689,8.165717846384917,32.13003304959567,2.0298959618131995,7.987126859786494,65.22062434029888,0.0010162601626016,0.001,0.001,0.001,0.001,1,2027,5.279668799388872,15.018206619497652,<=20,1-2,11-30
