cohort,rows,players,mean_cond_avg_delta,mean_abs_cond_avg_delta,mean_exp_points_delta,mean_abs_exp_points_delta,positive_exp_points_rows,negative_exp_points_rows,unchanged_exp_points_rows
all,4020,804,-0.08724048695638564,0.5564477610189505,-0.2700043194923883,3.3788374368328884,1855,2132,33
zero_history,555,111,0.3964932089319284,0.39919055537910064,0.8058280482653402,0.8071921967523289,541,14,0
under_50_games,1995,399,-0.2338365204534435,0.5366184508761325,-2.027289071814705,3.083962234054294,753,1240,2
established_50_plus,2025,405,0.05718375345182688,0.5759833036040973,1.4612465846473757,3.669344118088837,1102,892,31
established_low_ceiling,195,39,0.11499100912094377,0.3856363831211386,-0.073155453915261,1.2143871607236485,108,80,7
established_other,1830,366,0.051023963913314395,0.5962661721801503,1.6247484412155255,3.9309378922343083,994,812,24
