model,lead,n,residual_sd
task012,1,3489,14.810444142114399
task012,2,2774,16.852202922066585
task012,3,2107,18.574186882304325
task012,4,1489,20.293392050407075
task012,5,989,22.447723806845698
task047,1,3489,13.035374137958796
task047,2,2774,14.633329722587613
task047,3,2107,15.46601551949463
task047,4,1489,15.820225016975776
task047,5,989,16.241089393158315
