model,lead,n,mae,bias,actual_avg,pred_avg,residual_sd
task012,1,2175,10.65568365877365,-2.8207039573888895,77.35106206896552,74.53035811157663,13.286455897494614
task012,2,1621,13.01805889599122,-5.070808813456096,77.69791486736582,72.62710605390973,15.737380915099454
task012,3,1169,14.899167153174574,-7.134622841067161,77.69582549187339,70.56120265080624,17.325832582835563
task012,4,785,16.01094266008137,-8.747122106018692,77.72309554140126,68.97597343538258,18.32092552612144
task012,5,488,16.365510324096878,-8.947306134460284,77.29627049180328,68.348964357343,18.875891821709597
task047,1,2175,9.952965011924746,-0.22868392374751492,77.35106206896552,77.122378145218,12.779976310454195
task047,2,1621,11.371972870724115,0.07031979688891493,77.69791486736582,77.76823466425475,14.456112954244494
task047,3,1169,12.01315226101871,0.3414717185975858,77.69582549187339,78.03729721047098,15.29330778097411
task047,4,785,12.345507169003621,0.9692789882188744,77.72309554140126,78.69237452962015,15.716510407759207
task047,5,488,12.614619790130087,0.10766252687231034,77.29627049180328,77.40393301867559,16.105849281933622
