origin_year,lead,n,actual_meaningful_rate,isotonic_delta_mean,origin,p_meaningful_raw_mean,p_meaningful_raw_bias,p_meaningful_raw_brier,p_meaningful_raw_log_loss,p_meaningful_raw_auc,p_meaningful_mean,p_meaningful_bias,p_meaningful_brier,p_meaningful_log_loss,p_meaningful_auc
2018,1,785,0.597452229299363,-0.025241763790044724,isotonic_moves_down,0.6288313815972474,0.03137915229788435,0.14125768820861012,0.4481906050968969,0.8726620064235782,0.6035896178072027,0.006137388507839625,0.14038229679402917,0.4436658058748213,0.8712281719791639
2018,2,785,0.5363057324840764,-0.025535965562853313,isotonic_moves_down,0.5661001030953426,0.02979437061126622,0.17798074908532027,0.5493579237701889,0.8150661689854087,0.5405641375324893,0.0042584050484129055,0.17589430091737873,0.5395746241740981,0.8136958053822662
2018,3,785,0.5273885350318471,0.03156719740464353,raw_classifier_underpredicts,0.42236610343686276,-0.10502243159498437,0.20663737707767232,0.633314997085032,0.7795812336419392,0.4539333008415063,-0.07345523419034083,0.19999142396108857,0.6127631624658987,0.7768955818586665
2018,4,785,0.47006369426751593,0.01597975537913754,raw_classifier_underpredicts,0.40319727493784313,-0.0668664193296728,0.19611896052156708,0.5960514771484238,0.7836538461538463,0.41917703031698067,-0.05088666395053526,0.1945048981247363,0.5976256430879833,0.7843052949760266
2018,5,785,0.42547770700636944,-0.0032867363074212674,raw_classifier_underpredicts,0.34112944343300916,-0.08434826357336028,0.1785815926040734,0.5578539129341761,0.8134285752220615,0.3378427071255879,-0.08763499988078155,0.1788638106123142,0.5628937971530765,0.81530398183677
2019,1,821,0.5676004872107187,-0.01846461307148939,isotonic_moves_down,0.5925438160465504,0.024943328835831724,0.15209862953375522,0.47776741908454434,0.8570210965362993,0.574079202975061,0.006478715764342335,0.1509407838412235,0.4763177368919637,0.8566009792661551
2019,2,821,0.5858708891595615,-0.034925210371275606,raw_classifier_underpredicts,0.5727460210367131,-0.01312486812284841,0.18917249212329015,0.5876659338741118,0.7952519261342791,0.5378208106654375,-0.048050078494124016,0.1852324128121938,0.5708979801504812,0.792858016387428
2019,3,821,0.5237515225334958,0.015794142814446688,raw_classifier_underpredicts,0.45017698098420406,-0.07357454154929172,0.19701208620057017,0.592703881541044,0.7895616487242015,0.46597112379865074,-0.05778039873484503,0.19464216524959682,0.583380511696862,0.7887795158508297
2019,4,821,0.47503045066991473,-0.016461434914236295,isotonic_introduces_underprediction,0.46670898193595345,-0.00832146873396128,0.1983870789727131,0.5984359563737918,0.7804212029270035,0.45024754702171715,-0.024782903648197574,0.19225572835891463,0.5841269826827798,0.7813106074126956
2019,5,821,0.40682095006090135,0.0025624292102274793,raw_classifier_underpredicts,0.32864130578307255,-0.07817964427782881,0.18389261146506472,0.569837622441484,0.7985251263386984,0.3312037349933,-0.07561721506760133,0.18299974986953402,0.5630642985663585,0.7966992093841065
2020,1,815,0.6282208588957056,-0.015879166699240277,raw_classifier_underpredicts,0.5645079222092064,-0.06371293668649913,0.15757407733543893,0.49305980172870256,0.8445976433580858,0.5486287555099661,-0.07959210338573941,0.1619989650480068,0.5064297950400094,0.8423770111386137
2020,2,815,0.5803680981595092,0.009614732175437679,raw_classifier_underpredicts,0.48219258742845744,-0.09817551073105174,0.18546482685794916,0.5645166902051261,0.8121236848287031,0.4918073196038951,-0.08856077855561406,0.18307783386242477,0.5627297739460175,0.811789869317409
2020,3,815,0.5239263803680981,0.03622284211243215,raw_classifier_underpredicts,0.397993078377591,-0.12593330199050712,0.193586914754534,0.5843567310471259,0.8122540380018831,0.43421592049002317,-0.08971045987807497,0.1853028490366359,0.567931394987871,0.8115599121176271
2020,4,815,0.452760736196319,-0.019818295022658416,raw_classifier_underpredicts,0.4376257285434819,-0.015135007652837096,0.20243688303573876,0.6089790809607538,0.7678491134687131,0.4178074335208235,-0.03495330267549551,0.19947585855439492,0.6011448662793866,0.7654064433021012
2020,5,815,0.39386503067484663,-0.029682428523405024,isotonic_introduces_underprediction,0.38406181719337756,-0.009803213481469064,0.1931012753225417,0.5836201287155435,0.7675217879349704,0.35437938866997254,-0.03948564200487409,0.19178147647400565,0.576972244728839,0.7662952312485022
2021,1,796,0.6457286432160804,-0.03976540009056839,raw_classifier_underpredicts,0.6168550233847053,-0.02887361983137504,0.1490041033140013,0.4637268238056735,0.8502704418136159,0.5770896232941369,-0.06863901992194343,0.15518583559682536,0.48055057807161383,0.849139001572978
2021,2,796,0.5954773869346733,0.002875358536437056,raw_classifier_underpredicts,0.5111151558405371,-0.08436223109413621,0.17312847824156352,0.5242320792612332,0.8300377388159448,0.5139905143769742,-0.08148687255769915,0.17105775442784604,0.5256453410692492,0.8304963702597166
2021,3,796,0.5301507537688442,-0.025337571076845422,raw_classifier_underpredicts,0.4910400633429563,-0.03911069042588794,0.18175529264694884,0.55481808191366,0.8072617026129711,0.4657024922661109,-0.06444826150273336,0.18339090756891438,0.5637583171156697,0.8063714930177155
2021,4,796,0.4535175879396985,0.00019712938587768125,raw_classifier_underpredicts,0.3942420104468108,-0.0592755774928877,0.2018218433011353,0.6095796103844868,0.7680708122393096,0.39443913983268847,-0.05907844810701002,0.20235585670696096,0.6132879940655146,0.7657433056325023
2022,1,799,0.6445556946182729,-0.03076198236917216,isotonic_introduces_underprediction,0.6430494935190729,-0.0015062010991999664,0.1460637559854597,0.45420450189857076,0.8597771092574866,0.6122875111499008,-0.032268183468372125,0.14712033350692896,0.454059122759498,0.8588301654587721
2022,2,799,0.5894868585732165,0.008359080723138068,raw_classifier_underpredicts,0.5428060743613542,-0.04668078421186228,0.1819745322315132,0.5507257372472677,0.8004084459634404,0.5511651550844923,-0.03832170348872421,0.1802935285465297,0.5475004597869256,0.8001657086634562
2022,3,799,0.5181476846057572,-0.01914753935114094,isotonic_introduces_underprediction,0.5127897873537292,-0.0053578972520280654,0.18954968531835692,0.575914219983476,0.7941150636802811,0.4936422480025882,-0.024505436603169006,0.18687932887390754,0.5613503885467861,0.7931018257105213
2023,1,802,0.6371571072319202,0.022303242402239465,raw_classifier_underpredicts,0.5858257744431246,-0.05133133278879565,0.16170832725292092,0.49564288371978205,0.8359963954512748,0.608129016845364,-0.029028090386556182,0.16119987186073728,0.5010999411391125,0.8349540352788482
2023,2,802,0.5660847880299252,0.02883370959274889,raw_classifier_underpredicts,0.5384272947967903,-0.027657493233134933,0.18085444463352462,0.5468975723877475,0.8101043090789406,0.5672610043895392,0.0011762163596139574,0.17863933713173435,0.5392978218056373,0.808553597650514
2024,1,804,0.6243781094527363,0.02300171747865698,raw_classifier_underpredicts,0.6043070711492224,-0.020071038303513866,0.15316169074564256,0.4758331677783688,0.8482164058995805,0.6273087886278794,0.002930679175143114,0.15618485020545012,0.48778831991252214,0.8446709849344344
