lead,slice_type,slice_value,n,actual_meaningful_rate,isotonic_delta_mean,origin,p_meaningful_raw_mean,p_meaningful_raw_bias,p_meaningful_raw_brier,p_meaningful_raw_log_loss,p_meaningful_raw_auc,p_meaningful_mean,p_meaningful_bias,p_meaningful_brier,p_meaningful_log_loss,p_meaningful_auc
1,age_band,24-26,1225,0.7281632653061224,-0.012004198382562281,raw_classifier_underpredicts,0.685095945614047,-0.043067319692075445,0.1385812608914078,0.42974576760419875,0.8527080892551745,0.6730917472314847,-0.055071518074637726,0.14219343888770564,0.4429557199521248,0.844444781103974
1,age_band,27-29,930,0.7344086021505376,-0.016826858658801847,raw_classifier_underpredicts,0.6826687337694378,-0.051739868381099785,0.1311279996769781,0.42819853227582505,0.8506707132737802,0.665841875110636,-0.06856672703990163,0.13226452763305224,0.43734887410184775,0.8570992465960487
1,pick_band,61+ / undrafted,890,0.46741573033707867,-0.0070430512646527665,raw_classifier_underpredicts,0.35910799074986194,-0.10830773958721673,0.16922428767185788,0.5217584988416649,0.8520797833495618,0.35206493948520917,-0.1153507908518695,0.17301436417292707,0.5391509295979847,0.8482280509574813
1,position,RUC,413,0.4745762711864407,-0.007890338603093627,raw_classifier_underpredicts,0.4179943293073905,-0.05658194187905019,0.15316835592972472,0.48284114478695145,0.8537336593623626,0.4101039907042969,-0.06447228048214382,0.15639580156337604,0.49906212079296075,0.848231919495909
1,prior_games,zero prior games,719,0.12100139082058414,-0.005184709354920908,no_material_probability_underprediction,0.1528395592616175,0.03183816844103335,0.10688950594774466,0.36553466519362665,0.629874145205878,0.14765484990669658,0.02665345908611244,0.10640375373624691,0.3651229496733806,0.6301378582860468
2,age_band,24-26,1047,0.6790830945558739,-0.006528791157366154,raw_classifier_underpredicts,0.5953621211565505,-0.08372097339932338,0.1637842265916191,0.5008906914830282,0.8311692117071865,0.5888333299991844,-0.09024976455668954,0.16304661260666983,0.5048955216608297,0.8334442602638805
2,prior_games,zero prior games,615,0.21300813008130082,0.01683959175732902,raw_classifier_underpredicts,0.1937047182754366,-0.01930341180586423,0.16861390152462602,0.5228093500185149,0.5972020692700777,0.2105443100327656,-0.002463820048535209,0.16827573649312785,0.523760713513341,0.5974938489685193
3,age_band,24-26,862,0.6276102088167054,0.001000809872285735,raw_classifier_underpredicts,0.4979792489845636,-0.1296309598321418,0.1868557920935871,0.5656512361659242,0.8224529399231838,0.4989800588568493,-0.12863014995985605,0.18214767584460934,0.5544500438175329,0.8222974646005724
3,prior_games,zero prior games,515,0.229126213592233,0.02980580442459571,raw_classifier_underpredicts,0.21096854131497375,-0.018157672277259257,0.1734524629445545,0.5282254249266756,0.6272147034965633,0.24077434573956946,0.011648132147336454,0.17469005522741962,0.5290070870686626,0.6241087819664431
3,tenure_band,4-5,734,0.6226158038147139,0.003925475896557673,raw_classifier_underpredicts,0.5125896646475023,-0.1100261391672116,0.19496931557082559,0.595609725157763,0.7964041109417089,0.51651514054406,-0.10610066327065393,0.18959942378561173,0.584698651839971,0.7982328638349303
4,age_band,21-23,924,0.5497835497835498,-0.007877632679827384,raw_classifier_underpredicts,0.45206977708786533,-0.09771377269568449,0.1950121031226295,0.5987985352882118,0.7947219488188976,0.44419214440803795,-0.10559140537551187,0.1974334940100629,0.6133042424717967,0.7919277142640825
4,age_band,24-26,680,0.5661764705882353,-0.009362412787795316,raw_classifier_underpredicts,0.45617328197532975,-0.11000318861290553,0.19121117293991188,0.5724126558539607,0.8145014307726172,0.44681086918753443,-0.11936560140070085,0.18966591166431382,0.5708105579036952,0.8145498569227382
4,prior_games,zero prior games,418,0.20813397129186603,0.020833773895382407,raw_classifier_underpredicts,0.19218849464792093,-0.015945476643945106,0.17218689798315942,0.539802770667651,0.5826301350835157,0.21302226854330333,0.004888297251437301,0.17196262217119218,0.53974679794063,0.5898357467791785
4,tenure_band,4-5,588,0.5731292517006803,-0.011040165948381864,raw_classifier_underpredicts,0.4689978669484607,-0.10413138475221961,0.19379017077237887,0.5959038042738991,0.8014470308676274,0.4579577010000788,-0.11517155070060148,0.1967216804320459,0.6101114363734959,0.7965881281993688
5,prior_games,zero prior games,327,0.22324159021406728,0.007352009636700935,raw_classifier_underpredicts,0.19248694046281378,-0.0307546497512535,0.174914090903635,0.5476955952382283,0.6108833998489915,0.19983895009951472,-0.023402640114552564,0.1753345957647663,0.5462254265978892,0.6074317765073886
