lead,origin_year,slice_type,slice_value,n,actual_meaningful_rate,isotonic_delta_mean,origin,p_meaningful_raw_mean,p_meaningful_raw_bias,p_meaningful_raw_brier,p_meaningful_raw_log_loss,p_meaningful_raw_auc,p_meaningful_mean,p_meaningful_bias,p_meaningful_brier,p_meaningful_log_loss,p_meaningful_auc
1,2018,age_band,24-26,174,0.6724137931034483,-0.025354037033406884,isotonic_overcorrects_to_underprediction,0.683312615141336,0.010898822037887723,0.12377926881509582,0.3964154966371963,0.8845404108562003,0.6579585781079291,-0.014455214995519161,0.12334787928518527,0.3966977982188242,0.8829659619133304
1,2018,age_band,27-29,128,0.71875,-0.034637893097062666,isotonic_introduces_underprediction,0.7270294348881216,0.00827943488812155,0.15617373171172153,0.5317332755237743,0.7838164251207729,0.6923915417910589,-0.026358458208941116,0.15391658464499228,0.513309945423533,0.7841183574879226
1,2018,pick_band,61+ / undrafted,118,0.4322033898305085,-0.010527666354211873,raw_classifier_underpredicts,0.37125014611537416,-0.06095324371513433,0.14445165421130055,0.46012968375714,0.8700614574187885,0.3607224797611623,-0.0714809100693462,0.15166908183728217,0.49322538920591297,0.8628914252268071
1,2018,position,RUC,52,0.46153846153846156,-0.022028223488406273,raw_classifier_underpredicts,0.4458057567895463,-0.01573270474891525,0.14561356148924434,0.4525090318787047,0.8839285714285714,0.42377753330114004,-0.03776092823732152,0.14932611005727375,0.46309014194414316,0.8712797619047619
1,2018,prior_games,zero prior games,96,0.07291666666666667,-0.0011930454734969953,no_material_probability_underprediction,0.11880248747167384,0.045885820805007166,0.0683657431060402,0.25861095610205564,0.6934189406099518,0.11760944199817684,0.04469277533151017,0.06755897940729065,0.25517236509596825,0.7062600321027287
1,2019,age_band,24-26,174,0.6839080459770115,-0.01895184194787669,raw_classifier_underpredicts,0.673439924322973,-0.010468121654038542,0.1471288105105229,0.4522212635219929,0.8472116119174942,0.6544880823750963,-0.029419963601915233,0.1464388298282913,0.45226771269243166,0.8459893048128342
1,2019,age_band,27-29,135,0.6888888888888889,-0.024351131511211377,raw_classifier_underpredicts,0.6700195889141268,-0.018869299974762055,0.12737419437910638,0.4254864998343098,0.8602150537634409,0.6456684574029155,-0.04322043148597343,0.1304269540138998,0.45053000751055894,0.855094726062468
1,2019,pick_band,61+ / undrafted,147,0.3673469387755102,-0.006119298072193136,raw_classifier_underpredicts,0.35029656816411053,-0.01705037061139969,0.1446093023873231,0.4750377717767807,0.8673835125448028,0.3441772700919174,-0.023169668683592826,0.1402021816324272,0.47019662853202576,0.8668857029072083
1,2019,position,RUC,63,0.42857142857142855,-0.012392184779852378,raw_classifier_underpredicts,0.3815380170519639,-0.04703341151946466,0.12168736090944994,0.39465321150429,0.9032921810699588,0.3691458322721115,-0.05942559629931704,0.12858256854178382,0.40876940095477254,0.8991769547325102
1,2019,prior_games,zero prior games,125,0.096,-0.007743350872681243,no_material_probability_underprediction,0.15437313030190175,0.05837313030190175,0.08717993934776139,0.3121548960176719,0.6806784660766961,0.1466297794292205,0.050629779429220506,0.0867868063133243,0.3102046655403959,0.6865781710914455
1,2020,age_band,24-26,171,0.7309941520467836,-0.014216573048779213,raw_classifier_underpredicts,0.6343739676878786,-0.09662018435890507,0.14392203993424407,0.4468323602288974,0.8549565217391305,0.6201573946390994,-0.11083675740768428,0.14801474598889663,0.4602057699678085,0.8508695652173912
1,2020,age_band,27-29,143,0.7342657342657343,-0.02076547565475928,raw_classifier_underpredicts,0.6387510256517264,-0.0955147086140079,0.14172858592223453,0.4629540466066276,0.8478696741854637,0.6179855499969671,-0.11628018426876718,0.14595062430621145,0.48760422592490854,0.8528822055137845
1,2020,pick_band,61+ / undrafted,145,0.4413793103448276,-0.00590839968826401,raw_classifier_underpredicts,0.2946741781356166,-0.146705132209211,0.19915424098516765,0.6013019026086102,0.8168402777777778,0.2887657784473526,-0.152613531897475,0.204902999462446,0.6177922377234841,0.8137538580246914
1,2020,position,RUC,57,0.543859649122807,-0.008064205764298171,raw_classifier_underpredicts,0.4075560156546454,-0.13630363346816166,0.19482866253742973,0.6557861012275067,0.8039702233250621,0.3994918098903472,-0.14436783923245983,0.19442203722165452,0.7011748690659741,0.7952853598014887
1,2020,prior_games,zero prior games,106,0.1320754716981132,-0.010319335406876518,isotonic_moves_down,0.14581869991562255,0.01374322821750934,0.11762391785526123,0.4066744623920357,0.5461956521739131,0.13549936450874603,0.0034238928106328226,0.11725853537207945,0.4135217058353081,0.5372670807453416
1,2021,age_band,24-26,161,0.7950310559006211,-0.03903423236433612,raw_classifier_underpredicts,0.7092165461867784,-0.08581450971384263,0.13963017040848116,0.4335331692231386,0.8330965909090908,0.6701823138224423,-0.12484874207817875,0.1483773879365555,0.45800850925474557,0.8307291666666666
1,2021,age_band,27-29,130,0.7615384615384615,-0.04352476469516553,raw_classifier_underpredicts,0.7107342527389626,-0.05080420879949887,0.10895182762336869,0.35436240614896125,0.8745519713261649,0.6672094880437971,-0.0943289734946644,0.12060901563809422,0.3860417924503314,0.8708048224177257
1,2021,pick_band,61+ / undrafted,123,0.5284552845528455,-0.04284578705571779,raw_classifier_underpredicts,0.37522500790569135,-0.15323027664715416,0.19356356879765213,0.5781014099216253,0.850397877984085,0.33237922084997357,-0.19607606370287195,0.2103073403996276,0.6334486919732102,0.85
1,2021,position,RUC,60,0.5666666666666667,-0.035864084753953196,raw_classifier_underpredicts,0.454026471482849,-0.11264019518381763,0.2032470647977938,0.6078108752760855,0.7884615384615384,0.41816238672889583,-0.14850427993777082,0.2176818158990193,0.6586122553858672,0.783371040723982
1,2021,prior_games,zero prior games,91,0.12087912087912088,-0.025901917451035622,isotonic_moves_down,0.15645059371650233,0.03557147283738145,0.10393359717734257,0.35785730156335965,0.6636363636363636,0.1305486762654667,0.009669555386345827,0.10329145286546687,0.3585344906000459,0.6488636363636363
1,2022,age_band,24-26,182,0.7912087912087912,-0.03625053340373319,raw_classifier_underpredicts,0.7330541149270269,-0.058154676281764295,0.12152233235907198,0.38751627358488927,0.868421052631579,0.6968035815232937,-0.09440520968549748,0.12626706011277444,0.4105558978769011,0.868421052631579
1,2022,age_band,27-29,129,0.751937984496124,-0.039692513794226225,isotonic_overcorrects_to_underprediction,0.7675171590711576,0.01557917457503355,0.11841868734109277,0.3637549503102449,0.8791881443298969,0.7278246452769314,-0.024113339219192675,0.12153734722837879,0.3778925307713531,0.8712951030927836
1,2022,pick_band,61+ / undrafted,118,0.5,-0.02025383150435711,raw_classifier_underpredicts,0.3979679216183805,-0.10203207838161948,0.13640381290110268,0.4318584806805583,0.9029014650962367,0.3777140901140234,-0.1222859098859766,0.14467114170439194,0.459819605567151,0.9010341855788566
