lead,eventual_played,n,points_mae_current,points_mae_candidate,points_mae_change,predicted_probability_current,predicted_probability_candidate
1,False,498,19.425761136903,18.715468058297,-0.710293078606,0.139109031967,0.140305469542
1,True,221,279.024885125331,279.372843779305,0.347958653974,0.166911941915,0.170061668130
2,False,401,48.715139199477,49.200190813249,0.485051613772,0.193208099214,0.197252362188
2,True,214,394.383504767652,393.809647343570,-0.573857424082,0.243029452735,0.249340159553
3,False,346,67.931147329027,65.698827083641,-2.232320245385,0.221618762469,0.212522502977
3,True,169,488.472552108642,490.420877061743,1.948324953101,0.279992285453,0.263097851549
4,False,297,61.330731847808,63.715098247478,2.384366399670,0.195904648639,0.204536572936
4,True,121,653.724486678045,650.020220763884,-3.704265914161,0.255038244672,0.263579897033
5,False,241,38.355098612159,34.879548373298,-3.475550238861,0.186162365666,0.164996200979
5,True,86,978.587774760304,986.413292065808,7.825517305504,0.238165192523,0.204440142588
