lead,origin_year,model_id,n,actual_rate,predicted_probability,brier,games_mae,points_mae,actual_points,predicted_points
4,2018,vnext_event_logistic,81,0.172839506173,0.295844006667,0.123983581277,3.680424921849,274.257154567252,275.018888888889,176.128342973780
4,2018,vnext_fold_specific,81,0.172839506173,0.309036966541,0.130832503710,3.764985544066,279.247484958707,275.018888888889,180.639346569713
4,2019,vnext_event_logistic,96,0.145833333333,0.332741081133,0.160306433964,3.796586173500,245.811967308017,203.665000000000,155.243757405114
4,2019,vnext_fold_specific,96,0.145833333333,0.440824099783,0.220828060708,4.251756190933,265.899724933675,203.665000000000,188.886136651081
4,2020,vnext_event_logistic,101,0.138613861386,0.266915741014,0.141379764436,3.381982908161,218.467235159926,184.157326732673,109.591174493539
4,2020,vnext_fold_specific,101,0.138613861386,0.425195547387,0.232000479744,4.063005077723,245.139976110319,184.157326732673,150.479630125675
4,2021,vnext_event_logistic,116,0.163793103448,0.233103085240,0.143460871778,3.741776432993,269.368615215752,236.481120689655,102.950419411103
4,2021,vnext_fold_specific,116,0.163793103448,0.172713538444,0.122759905250,3.466776900703,256.270371876800,236.481120689655,83.013765405866
5,2018,vnext_event_logistic,81,0.086419753086,0.253615607513,0.099300901051,2.655694876354,175.692960292702,124.207407407407,136.446831601827
5,2018,vnext_fold_specific,81,0.086419753086,0.131149288645,0.061142340012,2.037631915318,145.627273877859,124.207407407407,78.852903804658
5,2019,vnext_event_logistic,96,0.083333333333,0.234059363371,0.113484484088,2.588503012411,170.787564137105,116.761354166667,114.455178054288
5,2019,vnext_fold_specific,96,0.083333333333,0.118847722084,0.070512020812,1.940015368793,139.202880777847,116.761354166667,64.541512654276
5,2020,vnext_event_logistic,101,0.108910891089,0.187148874660,0.098992369648,2.523130895596,169.718755185024,154.414950495050,57.413978007325
5,2020,vnext_fold_specific,101,0.108910891089,0.290176684048,0.146888610227,2.886460057183,182.751450564091,154.414950495050,76.993757740322
