player_key,origin_year,lead,cond_avg,games,avg,meaningful,total_games,age,position,weighted_avg,last_avg,career_best,error,abs_error,recent_demonstrated_avg,shrinkage,predicted_avg_band,prior_avg_band,games_band,established,elite_prior,age_band,broad_position
nathan-fyfe,2022,3,61.28808763479285,8,21.9,1,209,31.0,MID,103.47613164984438,63.3,122.2,39.38808763479285,39.38808763479285,103.47613164984438,-42.188044015051524,60-75,90-105,200+,established_50_plus,under_105,31-33,MID
nathan-fyfe,2020,5,61.27089465196359,8,21.9,1,187,29.0,MID,114.15905888499611,113.2,122.2,39.37089465196359,39.37089465196359,114.15905888499611,-52.888164233032526,60-75,105-120,100-199,established_50_plus,prior_105_plus,28-30,MID
sam-mayes,2018,3,69.27519467497572,11,30.3,1,101,24.0,FWD,70.15259235522092,56.2,80.3,38.975194674975725,38.975194674975725,70.15259235522092,-0.8773976802451955,60-75,60-75,100-199,established_50_plus,under_105,22-24,FWD
jarrod-berry,2020,1,89.15220198207197,11,50.3,1,74,22.0,MID,83.3302615123661,90.8,90.8,38.852201982071975,38.852201982071975,83.3302615123661,5.821940469705865,75-90,75-90,50-99,established_50_plus,under_105,22-24,MID
callum-brown,2020,2,77.63097135695051,6,39.0,1,47,20.0,FWD,64.98745606367746,65.1,68.3,38.63097135695051,38.63097135695051,64.98745606367746,12.643515293273055,75-90,60-75,25-49,under_50,under_105,<22,FWD
ryan-clarke,2020,3,72.80031225267058,16,34.2,1,64,23.0,MID,65.80789854995547,75.9,75.9,38.60031225267058,38.60031225267058,65.80789854995547,6.992413702715112,60-75,60-75,50-99,established_50_plus,under_105,22-24,MID
liam-henry,2021,4,71.47457672341349,6,33.0,1,20,20.0,FWD,41.13194154488517,42.0,42.0,38.47457672341349,38.47457672341349,41.13194154488517,30.34263517852832,60-75,<60,1-24,under_50,under_105,<22,FWD
jaidyn-stephenson,2019,5,91.6742163464183,12,53.2,1,40,20.0,FWD,70.23056234718827,80.3,80.3,38.4742163464183,38.4742163464183,70.23056234718827,21.443653999230037,90-105,60-75,25-49,under_50,under_105,<22,FWD
james-worpel,2019,3,94.67403799803668,11,56.2,1,33,20.0,MID,89.29705882352941,97.0,97.0,38.47403799803668,38.47403799803668,89.29705882352941,5.3769791745072695,90-105,75-90,25-49,under_50,under_105,<22,MID
jarryd-lyons,2021,2,77.43879266344263,10,39.1,1,159,29.0,MID,103.02980852673538,115.9,115.9,38.338792663442625,38.338792663442625,103.02980852673538,-25.591015863292753,75-90,90-105,100-199,established_50_plus,under_105,28-30,MID
mattaes-phillipou,2024,1,72.92672189424708,7,34.6,1,37,20.0,MID,53.63461030383091,58.2,58.2,38.32672189424708,38.32672189424708,53.63461030383091,19.29211159041617,60-75,<60,25-49,under_50,under_105,<22,MID
max-king-stk,2022,2,93.3269155113028,12,55.8,1,60,15.0,FWD,65.21710167238122,69.2,69.2,37.5269155113028,37.5269155113028,65.21710167238122,28.109813838921582,90-105,60-75,50-99,established_50_plus,under_105,<22,FWD
jack-bytel,2021,2,62.3625220925084,6,25.0,1,16,21.0,MID,49.42480211081794,48.0,48.0,37.3625220925084,37.3625220925084,49.42480211081794,12.937719981690456,60-75,<60,1-24,under_50,under_105,<22,MID
xavier-duursma,2019,3,88.54067358143736,11,51.3,1,20,19.0,MID,74.0,74.0,74.0,37.24067358143736,37.24067358143736,74.0,14.54067358143736,75-90,60-75,1-24,under_50,under_105,<22,MID
jack-ziebell,2019,1,85.04647428677478,8,48.0,1,210,28.0,MID,88.2116394992449,90.9,95.2,37.04647428677478,37.04647428677478,88.2116394992449,-3.1651652124701144,75-90,75-90,200+,established_50_plus,under_105,28-30,MID
brayden-ham,2020,2,60.731445159808274,11,23.7,1,15,21.0,FWD,50.61470588235294,51.7,51.7,37.03144515980827,37.03144515980827,50.61470588235294,10.11673927745533,60-75,<60,1-24,under_50,under_105,<22,FWD
liam-henry,2024,1,70.00252778392091,6,33.0,1,55,23.0,FWD,58.117632802648174,62.0,71.9,37.00252778392091,37.00252778392091,58.117632802648174,11.884894981272737,60-75,<60,50-99,established_50_plus,under_105,22-24,FWD
