lead,broad_position,n,mae,bias,actual_avg,pred_avg,recent_avg,shrinkage
1,DEF,1033,11.258317748994115,-4.795460666459906,68.79111326234269,63.99565259588279,65.68909826406819,-1.69344566818541
1,FWD,1165,10.691202226609215,-0.7265180541099697,63.357201716738196,62.63068366262822,61.0121598131501,1.6185238494781329
1,MID,1095,11.796726849761598,-3.1119340956014456,79.48435616438356,76.37242206878211,77.04677171603994,-0.6743496472578238
1,RUC,196,21.561708241323423,-20.44808942553498,86.10045918367346,65.65236975813849,79.65304650326806,-14.000676745129562
2,DEF,816,13.075618489866148,-6.5300379246874085,69.98519607843137,63.455158153743966,64.27291861233732,-0.8177604585933637
2,FWD,931,11.92909863406173,-0.7904798780496229,63.852986036519866,63.06250615847025,59.28619640547729,3.7763097529929555
2,MID,856,13.495671960712464,-4.212558594729864,80.62559579439252,76.41303719966265,76.67612991634392,-0.2630927166812725
2,RUC,171,28.092118785041055,-27.35451381068531,85.73602339181286,58.38150958112755,72.04299852735076,-13.661488946223205
3,DEF,621,14.751122359771678,-8.33841142005018,70.619307568438,62.28089614838782,63.46621738370368,-1.1853212353158515
3,FWD,704,13.234757708680474,-2.571791564424886,64.85809659090908,62.28630502648421,59.366367913280826,2.919937113203378
3,MID,643,15.336188409786333,-5.951384229014943,81.570466562986,75.61908233397106,76.90689007032597,-1.2878077363549054
3,RUC,139,33.74318256296613,-33.26709145033906,86.43827338129496,53.1711819309559,66.03293589732561,-12.861753966369706
4,DEF,437,17.105819145763434,-11.09436269291988,71.41361556064074,60.31925286772085,63.85698734847688,-3.53773448075602
4,FWD,503,14.756168892287768,-5.112826172733946,65.90387673956263,60.79105056682868,59.316264593539216,1.4747859732894593
4,MID,448,16.406731698233557,-7.816997345660369,82.59060267857141,74.77360533291106,77.42392188966775,-2.6503165567566853
4,RUC,101,40.101774958091646,-39.42666947083617,88.95485148514852,49.52818201431235,64.53285881472384,-15.00467680041149
5,DEF,303,19.383491881035116,-14.756645940015988,71.48052805280527,56.7238821127893,61.76340274544901,-5.039520632659711
5,FWD,324,16.762498583652608,-8.16704433761137,66.61938271604939,58.452338378438014,59.5765445259003,-1.124206147462298
5,MID,294,17.83569695782201,-9.236448185052334,82.84061224489795,73.60416405984562,77.90707823933202,-4.3029141794864
5,RUC,68,47.62549967433409,-46.900196320282376,91.46411764705883,44.563921326776445,59.282624091672055,-14.718702764895609
