lead,age_band,n,mae,bias,actual_avg,pred_avg,recent_avg,shrinkage
1,22-24,947,11.775326485379004,-2.9639887017381397,71.40718057022175,68.44319186848362,65.64653629189388,2.7966555765897287
1,25-27,842,10.667783474609742,-4.023216448555723,76.22672209026129,72.20350564170556,75.6661484995377,-3.4626428578321375
1,28-30,580,11.898898564126823,-5.271723336967426,76.95827586206897,71.68655252510155,81.11073273301545,-9.424180207913915
1,31-33,248,11.279918321419713,-4.660127494796251,73.76629032258064,69.10616282778439,83.52888241387721,-14.422719586092818
1,34+,38,12.1987908848118,-7.208538133883676,75.6521052631579,68.44356712927421,87.21600144209441,-18.77243431282019
1,<22,834,13.108825794598538,-3.0381494126037687,61.35887290167866,58.32072348907489,50.314693104535046,8.006030384539843
2,22-24,790,13.271594924108976,-3.4524950349147927,73.31607594936709,69.8635809144523,66.18790577099632,3.6756751434559676
2,25-27,652,13.23644445424495,-6.4418154728980275,77.1111963190184,70.66938084612038,77.2252411743405,-6.555860328220118
2,28-30,411,14.788321782626726,-9.934103180093652,76.17080291970804,66.23669973961438,82.79658910570826,-16.559889366093884
2,31-33,139,15.131976932398723,-10.786557875271763,73.2843165467626,62.49775867149083,86.55292169268795,-24.055163021197117
2,34+,15,18.94524260168938,-16.261430103953522,77.36,61.09856989604648,91.32132269737129,-30.22275280132482
2,<22,767,13.756841678164266,-2.0786382823628506,64.38344198174707,62.30480369938421,46.31928750298125,15.985516196402973
3,22-24,635,14.56082603687151,-4.755944161883045,74.26031496062993,69.50437079874688,67.28238824973997,2.221982549006912
3,25-27,492,15.344494931619636,-9.80965378249832,77.57418699186992,67.76453320937159,78.49087759976595,-10.726344390394349
3,28-30,266,18.018886763556107,-14.078372845332638,74.60887218045113,60.53049933511849,83.89714179164083,-23.366642456522335
3,31-33,67,20.131692436341336,-15.813349938055032,73.01149253731344,57.198142599258404,90.59766226916608,-33.399519669907676
3,34+,5,19.675946878974077,-19.675946878974077,76.15799999999999,56.48205312102592,98.69502983452685,-42.212976713500936
3,<22,642,15.56595777191314,-4.190755394349023,67.81791277258567,63.62715737823665,46.12798419894797,17.49917317928868
4,22-24,471,15.467614090699184,-7.196190724845438,75.58959660297239,68.39340587812697,68.40285412108446,-0.009448242957496416
4,25-27,341,17.0677530679895,-11.689835962665747,77.08680351906158,65.39696755639584,80.15197673361183,-14.755009177215996
4,28-30,156,20.6427646459459,-17.7515117850158,72.55230769230769,54.800795907291885,85.16658146014915,-30.365785552857258
4,31-33,31,25.35539285072915,-25.267482704404884,74.68612903225807,49.41864632785318,91.835586341838,-42.416940013984814
4,<22,490,18.74786223479869,-8.114140392104538,71.06061224489795,62.94647185279342,47.47522870840861,15.471243144384813
5,22-24,316,17.299281507606313,-9.63693547749952,76.29588607594937,66.65895059844985,69.36745865666887,-2.7085080582190253
5,25-27,218,18.49002266094279,-13.461342255085448,76.78119266055046,63.31985040546501,81.18602880953468,-17.866178404069654
5,28-30,80,22.20699207662648,-18.646415002615957,70.69225,52.04583499738404,86.91615163209742,-34.87031663471338
5,31-33,12,26.99189638349355,-26.84251750350373,75.25833333333334,48.415815829829604,91.69450016173562,-43.27868433190602
5,<22,363,22.558172025593144,-14.403436828225123,72.75950413223141,58.35606730400629,47.605271488610256,10.750795815396032
