lead,established,n,mae,bias,actual_avg,pred_avg,recent_avg,shrinkage
1,established_50_plus,2175,10.65568365877365,-2.8207039573888895,77.35106206896552,74.53035811157663,78.20107297774385,-3.6707148661672298
1,under_50,1314,13.73857807204437,-5.388482995630747,61.29745814307458,55.90897514744384,52.37966750853401,3.529307638909825
2,established_50_plus,1621,13.01805889599122,-5.070808813456096,77.69791486736582,72.62710605390973,79.12588468737076,-6.4987786334610345
2,under_50,1153,14.769704732222351,-5.315037853523631,64.4259323503903,59.110894496866656,49.72524832567736,9.385646171189293
3,established_50_plus,1169,14.899167153174574,-7.134622841067161,77.69582549187339,70.56120265080624,79.58978947365276,-9.028586822846531
3,under_50,938,16.643988842231444,-7.568429022230817,67.3272921108742,59.75886308864338,49.88879372758791,9.870069361055478
4,established_50_plus,785,16.01094266008137,-8.747122106018692,77.72309554140126,68.97597343538258,80.3265090345961,-11.350535599213515
4,under_50,704,19.502132106436623,-11.417053460052255,70.07073863636364,58.653685176311384,50.97870840416895,7.67497677214243
5,established_50_plus,488,16.365510324096878,-8.947306134460284,77.29627049180328,68.348964357343,80.90182248642819,-12.552858129085198
5,under_50,501,23.55310863543353,-17.2771054047483,72.05069860279441,54.77359319804611,50.844154741483244,3.9294384565628673
