lead,n,mae,bias,actual_avg,pred_avg,recent_avg,shrinkage
1,3489,11.816739336342504,-3.787760895265015,71.30507881914589,67.51731792388087,68.47641640378521,-0.9590984799043322
2,2774,13.746122215808988,-5.172321460607453,72.18147801009373,67.00915654948626,66.90564902585942,0.1035075236268636
3,2107,15.675931626043747,-7.327745858595168,73.07993355481729,65.75218769622211,66.36741927440795,-0.6152315781858372
4,1489,17.66157890604114,-10.00946708468869,74.10505708529213,64.09559000060345,66.45085312873934,-2.3552631281358885
5,989,20.006548497989357,-13.166951669762907,74.6390091001011,61.472057430338204,65.67544074707791,-4.203383316739717
