cohort,players,mean_value,median_value,min_value,max_value,mean_games,mean_ped_decay,current_avg_rows,pn_mae_vs_current,pn_bias_vs_current
all,804,823.2325870646766,396.0,1.0,7121.0,76.77114427860697,0.42647873880597015,355,21.901025707042255,20.545268230985915
partial_season_observed,312,1292.2724358974358,918.0,1.0,7121.0,112.34294871794872,0.34081198397435897,312,22.764710557692307,21.42038080769231
zero_history,111,312.3063063063063,288.0,1.0,935.0,0.0,0.9699699999999999,0,,
pedigree_persistence_50_plus_games,86,1897.1046511627908,1553.0,9.0,7121.0,75.83720930232558,0.32299734883720943,70,28.315714399999997,27.617178371428572
established_low_ceiling,119,132.67226890756302,68.0,1.0,1557.0,125.77310924369748,0.0252100756302521,46,10.434023,6.427996565217392
established_below_zero_history_median,143,93.79020979020979,70.0,1.0,287.0,138.25174825174824,0.01554,69,12.872930637681161,10.21088843478261
pathological_zero_value,4,1.0,1.0,1.0,1.0,8.5,0.9444445,2,12.014094999999998,6.022542999999999
value_floor,5,1.0,1.0,1.0,1.0,36.0,0.7555556,2,12.014094999999998,6.022542999999999
