model,n,mae,bias,actual_avg,pred_avg
task012,10848,14.60860084465653,-6.538466971779288,72.56219303097346,66.02372605919416
task046,10848,16.43252475988253,-9.175027905454018,72.56219303097346,63.38716512551943
