model,lead,predicted_avg_band,n,mae,bias,actual_avg,pred_avg
task012,1,105-120,19,11.764705897970249,-9.504017653756359,117.2036842105263,107.69966655676996
task012,1,60-75,1302,10.44257434848429,0.2705934763955312,67.29336405529955,67.56395753169508
task012,1,75-90,941,11.258477936535808,-2.652046680373209,84.16806588735388,81.51601920698067
task012,1,90-105,231,10.812453017033388,-6.818261202939203,102.68991341991341,95.87165221697421
task012,1,<60,996,14.374435688249104,-9.354056094693878,56.24203815261044,46.88798205791657
task012,2,105-120,6,13.17318274658632,-5.738898024951965,112.95,107.21110197504804
task012,2,60-75,1033,12.526569655339333,-1.85506722644302,69.7087802516941,67.85371302525107
task012,2,75-90,748,12.998598357593847,-1.7236891954990847,82.74879679144385,81.02510759594476
task012,2,90-105,155,13.145329677107679,-6.671909681969888,101.68174193548387,95.00983225351399
task012,2,<60,832,16.048413226895672,-12.107976417933987,59.96127403846154,47.85329762052755
task012,3,105-120,4,13.236679914717556,-5.773393514845587,113.3,107.52660648515442
task012,3,60-75,757,14.057682073057395,-3.403155613734691,71.43742404227213,68.03426842853744
task012,3,75-90,523,13.69329114187798,-1.5215097483181594,82.77491395793498,81.25340420961683
task012,3,90-105,111,14.984302552289332,-3.796471726142007,98.27027027027027,94.47379854412826
task012,3,<60,712,18.974335725568192,-16.324607009032746,63.55169943820224,47.2270924291695
task012,4,105-120,4,10.142483369396043,-5.194275067180865,114.75,109.55572493281913
task012,4,60-75,489,14.56708156235566,-5.7701788303252295,73.39862985685072,67.6284510265255
task012,4,75-90,352,14.676822946511924,-0.26020315495200824,81.96798295454545,81.70777979959345
task012,4,90-105,84,12.934849793533203,-1.6968614250748315,96.64095238095238,94.94409095587756
task012,4,<60,560,23.002587703208512,-21.12066798313269,66.10880357142857,44.98813558829588
task012,5,105-120,5,11.91841481568735,6.295919095895163,102.3,108.59591909589517
task012,5,60-75,284,13.966301809182655,-5.459968123299007,72.99080985915492,67.53084173585592
task012,5,75-90,224,14.252760800874219,-1.4227401839102023,83.32053571428571,81.89779553037552
task012,5,90-105,53,14.776059664836952,0.20987640196422452,95.0490566037736,95.25893300573782
task012,5,<60,423,27.859822919605154,-26.46665129542859,68.26404255319149,41.797391257762904
task046,1,105-120,77,10.669224014306634,3.2339922635966607,107.36402597402598,110.59801823762264
task046,1,120+,20,18.789319319236956,17.053820040946004,109.6445,126.69832004094602
task046,1,60-75,1067,10.558869062383387,-1.7191231180307425,69.35026241799437,67.63113929996364
task046,1,75-90,764,10.501076616988165,-1.1793495086758143,82.70350785340314,81.52415834472733
task046,1,90-105,280,10.719431277815485,-1.8108322804406534,98.10446428571429,96.29363200527364
task046,1,<60,1281,17.45246118805674,-13.842750224361762,57.511350507416076,43.66860028305432
task046,2,105-120,59,14.483695947973096,7.6757923243291915,102.89305084745762,110.56884317178682
task046,2,120+,9,10.800360976267292,6.621921773687583,116.93555555555557,123.55747732924313
task046,2,60-75,920,11.807324959377738,-3.7665234934188816,71.39240217391304,67.62587868049417
task046,2,75-90,542,13.079498167986724,-2.4219674559512856,83.75935424354243,81.33738678759116
task046,2,90-105,188,12.548642060159331,-1.3790441217058635,97.5552659574468,96.17622183574093
task046,2,<60,1056,19.285804757442055,-16.245650620324355,60.311875,44.066224379675646
task046,3,105-120,32,11.52842183526152,4.0056012628935544,105.85906250000001,109.86466376289356
task046,3,60-75,694,13.444014241006737,-5.268783918497088,72.84417867435158,67.5753947558545
task046,3,75-90,374,13.735590120721337,-3.1448864628088473,84.58689839572193,81.44201193291308
task046,3,90-105,135,13.191232638785802,-1.084540232142348,97.43385185185186,96.3493116197095
task046,3,<60,872,22.79164145755196,-20.60273109750731,63.35894495412844,42.75621385662113
task046,4,105-120,24,13.759048067229296,9.090145694578084,100.91916666666667,110.00931236124474
task046,4,120+,2,7.290533601501274,-1.3176390267787568,122.19999999999999,120.88236097322124
task046,4,60-75,425,15.598924643940734,-7.748427283499544,75.06764705882352,67.31921977532399
task046,4,75-90,268,14.250956807730638,0.825147927236796,80.63332089552239,81.45846882275919
task046,4,90-105,109,13.901778884299222,2.567229680146089,93.84100917431192,96.40823885445802
task046,4,<60,661,27.685519287126446,-26.254459316408415,66.46568835098336,40.21122903457494
task046,5,105-120,23,21.60100350214202,18.279678872668782,91.62826086956521,109.90793974223399
task046,5,60-75,237,14.104325229645823,-5.9113154501454,73.23978902953587,67.32847357939046
task046,5,75-90,195,14.182184882939769,1.8405637819252485,79.51158974358974,81.35215352551499
task046,5,90-105,96,17.16521603528838,9.599945719350755,87.1646875,96.76463321935076
task046,5,<60,438,35.236897768241,-34.28858507562901,69.58933789954338,35.300752823914365
